,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
303,iter7_h1_q1,7,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,,P,Will Patagonia's sales of environmentally-friendly clothing increase by more than 40% in 2027?,"This question resolves as YES if Patagonia's sales of environmentally-friendly clothing increase by more than 40% in 2027, as reported by Patagonia's official website or reputable outdoor industry sources like the Outdoor Industry Association.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.5400323292203595,
362,iter9_h1_q0,9,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P_and_Q,Will China increase its investment in renewable energy by more than 70% in 2029 and the global demand for fossil fuels decrease by more than 25% by 2035?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 70% in 2029, and the global demand for fossil fuels decreases by more than 25% by December 31, 2035, as reported by China's official website, reputable sources like the National Bureau of Statistics of China or the IEA, and reputable sources like the IEA or the EIA.",0.43,"[0.35, 0.45, 0.45, 0.45, 0.45]",0.5184873769115075,
361,iter9_h1_q0,9,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,Q_given_P,"Given that China increases its investment in renewable energy, will the global demand for fossil fuels decrease by more than 25% by 2035?","This question resolves as YES if the global demand for fossil fuels decreases by more than 25% by December 31, 2035, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.36,"[0.4, 0.35, 0.35, 0.35, 0.35]",0.5184873769115075,
360,iter9_h1_q0,9,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P,Will China increase its investment in renewable energy by more than 70% in 2029?,"This question resolves as YES if China increases its investment in renewable energy by more than 70% in 2029, as reported by China's official website or reputable sources like the National Bureau of Statistics of China or the International Energy Agency (IEA).",0.39,"[0.35, 0.45, 0.45, 0.35, 0.35]",0.5184873769115075,
462,iter12_h3_q0,12,The model underestimates the impact of geopolitics on global energy markets,Global Energy Markets,,P,Will China increase its investment in renewable energy by more than 100% in 2028?,"This question resolves as YES if China increases its investment in renewable energy by more than 100% in 2028, as reported by China's official website or reputable sources like the National Bureau of Statistics of China or the International Energy Agency (IEA).",0.31,"[0.3, 0.35, 0.3, 0.3, 0.3]",0.4887625332014171,
463,iter12_h3_q0,12,The model underestimates the impact of geopolitics on global energy markets,Global Energy Markets,,Q_given_P,"Given an increase in China's investment in renewable energy, will the global demand for fossil fuels decrease by more than 25% by 2035?","This question resolves as YES if the global demand for fossil fuels decreases by more than 25% by December 31, 2035, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.3999999999999999,"[0.45, 0.35, 0.35, 0.4, 0.45]",0.4887625332014171,
464,iter12_h3_q0,12,The model underestimates the impact of geopolitics on global energy markets,Global Energy Markets,,P_and_Q,Will China increase its investment in renewable energy by more than 100% in 2028 and the global demand for fossil fuels decrease by more than 25% by 2035?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 100% in 2028, and the global demand for fossil fuels decreases by more than 25% by December 31, 2035, as reported by China's official website, reputable sources like the National Bureau of Statistics of China or the IEA, and reputable sources like the IEA or the EIA.",0.39,"[0.35, 0.45, 0.45, 0.35, 0.35]",0.4887625332014171,
257,iter5_h3_q1,5,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P_and_Q,Will China increase its investment in renewable energy by more than 30% in 2027 and the global demand for fossil fuels decrease by more than 10% by 2030?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 30% in 2027, and the global demand for fossil fuels decreases by more than 10% by December 31, 2030, as reported by China's official website, reputable sources like the National Bureau of Statistics of China, and reputable sources like the International Energy Agency or the Energy Information Administration.",0.6100000000000001,"[0.65, 0.55, 0.65, 0.55, 0.65]",0.461418180929365,
255,iter5_h3_q1,5,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P,Will China increase its investment in renewable energy by more than 30% in 2027?,"This question resolves as YES if China increases its investment in renewable energy by more than 30% in 2027, as reported by China's official website or reputable sources like the National Bureau of Statistics of China.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.461418180929365,
256,iter5_h3_q1,5,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,Q_given_P,"Given an increase in China's investment in renewable energy, will the global demand for fossil fuels decrease by more than 10% by 2030?","This question resolves as YES if the global demand for fossil fuels decreases by more than 10% by December 31, 2030, as reported by reputable sources like the International Energy Agency or the Energy Information Administration.",0.49,"[0.35, 0.35, 0.65, 0.45, 0.65]",0.461418180929365,
482,iter13_h1_q0,13,"The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion, specifically in the context of influencer marketing",Marketing and Fashion,,P_and_Q,Will the number of Instagram posts using the hashtag #sustainablefashion increase by more than 200% in 2028 and the sales of sustainable fashion products increase by more than 50% by 2030?,"This question resolves as YES if both conditions are met: the number of Instagram posts using the hashtag #sustainablefashion increases by more than 200% in 2028, and the sales of sustainable fashion products increase by more than 50% by December 31, 2030, as reported by Instagram's official analytics tool, reputable social media sources like Hootsuite, and reputable sources like the Sustainable Fashion Coalition or the Global Fashion Agenda.",0.5700000000000001,"[0.65, 0.45, 0.55, 0.55, 0.65]",0.4572135045883763,
481,iter13_h1_q0,13,"The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion, specifically in the context of influencer marketing",Marketing and Fashion,,Q_given_P,"Given an increase in Instagram posts using the hashtag #sustainablefashion, will the sales of sustainable fashion products increase by more than 50% by 2030?","This question resolves as YES if the sales of sustainable fashion products increase by more than 50% by December 31, 2030, as reported by reputable sources like the Sustainable Fashion Coalition or the Global Fashion Agenda.",0.72,"[0.7, 0.75, 0.7, 0.7, 0.75]",0.4572135045883763,
480,iter13_h1_q0,13,"The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion, specifically in the context of influencer marketing",Marketing and Fashion,,P,Will the number of Instagram posts using the hashtag #sustainablefashion increase by more than 200% in 2028?,"This question resolves as YES if the number of Instagram posts using the hashtag #sustainablefashion increases by more than 200% in 2028, as reported by Instagram's official analytics tool or reputable social media sources like Hootsuite.",0.39,"[0.35, 0.55, 0.35, 0.35, 0.35]",0.4572135045883763,
390,iter10_h1_q0,10,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P,Will China increase its investment in renewable energy by more than 80% in 2030?,"This question resolves as YES if China increases its investment in renewable energy by more than 80% in 2030, as reported by China's official website or reputable sources like the National Bureau of Statistics of China or the International Energy Agency (IEA).",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.4278498296702376,
391,iter10_h1_q0,10,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,Q_given_P,"Given that China increases its investment in renewable energy, will the global demand for fossil fuels decrease by more than 30% by 2035?","This question resolves as YES if the global demand for fossil fuels decreases by more than 30% by December 31, 2035, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.3899999999999999,"[0.35, 0.35, 0.45, 0.45, 0.35]",0.4278498296702376,
392,iter10_h1_q0,10,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P_and_Q,Will China increase its investment in renewable energy by more than 80% in 2030 and the global demand for fossil fuels decrease by more than 30% by 2035?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 80% in 2030, and the global demand for fossil fuels decreases by more than 30% by December 31, 2035, as reported by China's official website, reputable sources like the National Bureau of Statistics of China or the IEA, and reputable sources like the IEA or the EIA.",0.37,"[0.35, 0.35, 0.45, 0.35, 0.35]",0.4278498296702376,
336,iter8_h2_q0,8,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P,Will China increase its investment in renewable energy by more than 60% in 2028?,"This question resolves as YES if China increases its investment in renewable energy by more than 60% in 2028, as reported by China's official website or reputable sources like the National Bureau of Statistics of China or the International Energy Agency (IEA).",0.3899999999999999,"[0.35, 0.35, 0.35, 0.45, 0.45]",0.4090064089056827,
337,iter8_h2_q0,8,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,Q_given_P,"Given an increase in China's investment in renewable energy, will the global demand for fossil fuels decrease by more than 20% by 2032?","This question resolves as YES if the global demand for fossil fuels decreases by more than 20% by December 31, 2032, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.45,"[0.35, 0.65, 0.45, 0.45, 0.35]",0.4090064089056827,
338,iter8_h2_q0,8,The model underestimates the impact of geopolitics on global energy markets,Geopolitics and Energy,,P_and_Q,Will China increase its investment in renewable energy by more than 60% in 2028 and the global demand for fossil fuels decrease by more than 20% by 2032?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 60% in 2028, and the global demand for fossil fuels decreases by more than 20% by December 31, 2032, as reported by China's official website, reputable sources like the National Bureau of Statistics of China or the IEA, and reputable sources like the IEA or the EIA.",0.41,"[0.35, 0.45, 0.35, 0.45, 0.45]",0.4090064089056827,
92,iter3_h1_q0,3,"The model overestimates the impact of technological advancements on the adoption of electric vehicles in the automotive industry, specifically in the context of battery technology",Automotive and Technology,,P_and_Q,Will the cost of lithium-ion batteries decrease by more than 30% by 2028 and the market share of electric vehicles in the US exceed 25% by 2030?,"This question resolves as YES if both conditions are met: the cost of lithium-ion batteries decreases by more than 30% by December 31, 2028, and the market share of electric vehicles in the US exceeds 25% by December 31, 2030, as reported by the International Energy Agency or the Automotive News Data Center.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
83,iter2_h4_q1,2,The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry,Environmental Policy,,P_and_Q,Will the US government re-enter the Paris Agreement by 2027 and the global carbon emissions decrease by more than 15% by 2035?,"This question resolves as YES if both conditions are met: the US government re-enters the Paris Agreement by December 31, 2027, and the global carbon emissions decrease by more than 15% by December 31, 2035, as reported by the IEA or the United Nations Framework Convention on Climate Change.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
91,iter3_h1_q0,3,"The model overestimates the impact of technological advancements on the adoption of electric vehicles in the automotive industry, specifically in the context of battery technology",Automotive and Technology,,Q_given_P,"Given the decrease in lithium-ion battery costs, will the market share of electric vehicles in the US exceed 25% by 2030?","This question resolves as YES if, given that the cost of lithium-ion batteries decreases, the market share of electric vehicles in the US exceeds 25% by December 31, 2030, as reported by the International Energy Agency or the Automotive News Data Center.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
90,iter3_h1_q0,3,"The model overestimates the impact of technological advancements on the adoption of electric vehicles in the automotive industry, specifically in the context of battery technology",Automotive and Technology,,P,Will the cost of lithium-ion batteries decrease by more than 30% by 2028?,"This question resolves as YES if the cost of lithium-ion batteries decreases by more than 30% by December 31, 2028, as reported by the National Renewable Energy Laboratory or the Battery Association.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
89,iter3_h0_q1,3,"The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry, specifically in the context of wind energy",Energy and Environment,,P_and_Q,"Will the European Union increase its target for wind energy production to at least 30% of total energy production by 2030 and the number of wind turbines installed in the EU exceed 50,000 by 2032?","This question resolves as YES if both conditions are met: the European Union increases its target for wind energy production to at least 30% of total energy production by December 31, 2030, and the number of wind turbines installed in the EU exceeds 50,000 by December 31, 2032, as reported by the European Wind Energy Association or the International Energy Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
88,iter3_h0_q1,3,"The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry, specifically in the context of wind energy",Energy and Environment,,Q_given_P,"Given the increased wind energy target, will the number of wind turbines installed in the EU exceed 50,000 by 2032?","This question resolves as YES if, given that the European Union increases its target for wind energy production, the number of wind turbines installed in the EU exceeds 50,000 by December 31, 2032, as reported by the European Wind Energy Association or the International Energy Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
87,iter3_h0_q1,3,"The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry, specifically in the context of wind energy",Energy and Environment,,P,Will the European Union increase its target for wind energy production to at least 30% of total energy production by 2030?,"This question resolves as YES if the European Union increases its target for wind energy production to at least 30% of total energy production by December 31, 2030, as reported by the European Commission or the European Environment Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
86,iter3_h0_q0,3,"The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry, specifically in the context of wind energy",Energy and Environment,,P_and_Q,Will the US government extend the Production Tax Credit for wind energy by 2027 and the installed capacity of wind energy in the US increase by more than 20% by 2030?,"This question resolves as YES if both conditions are met: the US government extends the Production Tax Credit for wind energy by December 31, 2027, and the installed capacity of wind energy in the US increases by more than 20% by December 31, 2030, as reported by the American Wind Energy Association or the US Energy Information Administration.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
85,iter3_h0_q0,3,"The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry, specifically in the context of wind energy",Energy and Environment,,Q_given_P,"Given the extension of the Production Tax Credit, will the installed capacity of wind energy in the US increase by more than 20% by 2030?","This question resolves as YES if, given that the US government extends the Production Tax Credit for wind energy, the installed capacity of wind energy in the US increases by more than 20% by December 31, 2030, as reported by the American Wind Energy Association or the US Energy Information Administration.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
84,iter3_h0_q0,3,"The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry, specifically in the context of wind energy",Energy and Environment,,P,Will the US government extend the Production Tax Credit for wind energy by 2027?,"This question resolves as YES if the US government extends the Production Tax Credit for wind energy by December 31, 2027, as reported by the US Department of the Treasury or the Internal Revenue Service.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
0,iter1_h0_q0,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P,Will Patagonia's sales of environmentally-friendly clothing increase by more than 25% in 2026?,"This question resolves as YES if Patagonia's sales of environmentally-friendly clothing increase by more than 25% in 2026, as reported by Patagonia's official website or reputable outdoor industry sources like the Outdoor Industry Association.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
82,iter2_h4_q1,2,The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry,Environmental Policy,,Q_given_P,"Given the US re-entry into the Paris Agreement, will the global carbon emissions decrease by more than 15% by 2035?","This question resolves as YES if, given that the US government re-enters the Paris Agreement, the global carbon emissions decrease by more than 15% by December 31, 2035, as reported by the International Energy Agency (IEA) or the United Nations Framework Convention on Climate Change.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
81,iter2_h4_q1,2,The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry,Environmental Policy,,P,Will the US government re-enter the Paris Agreement by 2027?,"This question resolves as YES if the US government re-enters the Paris Agreement by December 31, 2027, as reported by the US Department of State or the United Nations Framework Convention on Climate Change.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
80,iter2_h4_q0,2,The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry,Energy Policy,,P_and_Q,Will the European Union implement a carbon pricing mechanism by 2028 and the share of renewable energy sources in the EU's energy mix increase by more than 30% by 2032?,"This question resolves as YES if both conditions are met: the European Union implements a carbon pricing mechanism by December 31, 2028, and the share of renewable energy sources in the EU's energy mix increases by more than 30% by December 31, 2032, as reported by the European Commission or the International Renewable Energy Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
79,iter2_h4_q0,2,The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry,Energy Policy,,Q_given_P,"Given the implementation of a carbon pricing mechanism, will the share of renewable energy sources in the EU's energy mix increase by more than 30% by 2032?","This question resolves as YES if, given that the European Union implements a carbon pricing mechanism, the share of renewable energy sources in the EU's energy mix increases by more than 30% by December 31, 2032, as reported by the European Commission or the International Renewable Energy Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
78,iter2_h4_q0,2,The model underestimates the impact of government policies on the development of renewable energy sources in the energy industry,Energy Policy,,P,Will the European Union implement a carbon pricing mechanism by 2028?,"This question resolves as YES if the European Union implements a carbon pricing mechanism by December 31, 2028, as reported by the European Commission or the European Environment Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
77,iter2_h3_q1,2,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Marketing and Advertising,,P_and_Q,Will the number of brands using social media to promote sustainable products increase by more than 30% by 2029 and the consumer awareness of sustainable products increase by more than 25% by 2031?,"This question resolves as YES if both conditions are met: the number of brands using social media to promote sustainable products increases by more than 30% by December 31, 2029, and the consumer awareness of sustainable products increases by more than 25% by December 31, 2031, as reported by the Nielsen Company or the Pew Research Center.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
76,iter2_h3_q1,2,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Marketing and Advertising,,Q_given_P,"Given the increase in brands using social media to promote sustainable products, will the consumer awareness of sustainable products increase by more than 25% by 2031?","This question resolves as YES if, given that the number of brands using social media to promote sustainable products increases, the consumer awareness of sustainable products increases by more than 25% by December 31, 2031, as reported by the Nielsen Company or the Pew Research Center.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
75,iter2_h3_q1,2,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Marketing and Advertising,,P,Will the number of brands using social media to promote sustainable products increase by more than 30% by 2029?,"This question resolves as YES if the number of brands using social media to promote sustainable products increases by more than 30% by December 31, 2029, as reported by the Social Media Examiner or the Interactive Advertising Bureau.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
94,iter3_h1_q1,3,"The model overestimates the impact of technological advancements on the adoption of electric vehicles in the automotive industry, specifically in the context of battery technology",Automotive and Technology,,Q_given_P,"Given the increase in Tesla's electric vehicle sales, will the company's market capitalization exceed $1 trillion by 2029?","This question resolves as YES if, given that Tesla's sales of electric vehicles increase, the company's market capitalization exceeds $1 trillion by December 31, 2029, as reported by Tesla's official website or reputable financial sources like Bloomberg.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
93,iter3_h1_q1,3,"The model overestimates the impact of technological advancements on the adoption of electric vehicles in the automotive industry, specifically in the context of battery technology",Automotive and Technology,,P,Will Tesla's sales of electric vehicles increase by more than 40% in 2027?,"This question resolves as YES if Tesla's sales of electric vehicles increase by more than 40% in 2027, as reported by Tesla's official website or reputable automotive industry sources like the Automotive News Data Center.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
109,iter3_h4_q0,3,"The model underestimates the impact of economic factors on the adoption of renewable energy sources in the energy industry, specifically in the context of solar energy",Energy and Economics,,Q_given_P,"Given a global recession, will the investment in solar energy decrease by more than 15% by 2030?","This question resolves as YES if, given that the global economy experiences a recession, the investment in solar energy decreases by more than 15% by December 31, 2030, as reported by the International Energy Agency or the Solar Energy Industries Association.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
95,iter3_h1_q1,3,"The model overestimates the impact of technological advancements on the adoption of electric vehicles in the automotive industry, specifically in the context of battery technology",Automotive and Technology,,P_and_Q,Will Tesla's sales of electric vehicles increase by more than 40% in 2027 and the company's market capitalization exceed $1 trillion by 2029?,"This question resolves as YES if both conditions are met: Tesla's sales of electric vehicles increase by more than 40% in 2027, and the company's market capitalization exceeds $1 trillion by December 31, 2029, as reported by Tesla's official website or reputable financial sources like Bloomberg.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
96,iter3_h2_q0,3,"The model underestimates the impact of geopolitics on global energy markets, specifically in the context of oil production",Geopolitics and Energy,,P,Will OPEC increase its oil production by more than 10% by 2028?,"This question resolves as YES if OPEC increases its oil production by more than 10% by December 31, 2028, as reported by OPEC's official website or reputable energy industry sources like the International Energy Agency.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
113,iter3_h4_q1,3,"The model underestimates the impact of economic factors on the adoption of renewable energy sources in the energy industry, specifically in the context of solar energy",Energy and Economics,,P_and_Q,"Will the US government increase the federal tax credit for solar energy installations to $2,000 by 2027 and the number of solar energy installations in the US exceed 2 million by 2030?","This question resolves as YES if both conditions are met: the US government increases the federal tax credit for solar energy installations to $2,000 by December 31, 2027, and the number of solar energy installations in the US exceeds 2 million by December 31, 2030, as reported by the Solar Energy Industries Association or the US Energy Information Administration.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
112,iter3_h4_q1,3,"The model underestimates the impact of economic factors on the adoption of renewable energy sources in the energy industry, specifically in the context of solar energy",Energy and Economics,,Q_given_P,"Given the increased tax credit, will the number of solar energy installations in the US exceed 2 million by 2030?","This question resolves as YES if, given that the US government increases the federal tax credit for solar energy installations, the number of solar energy installations in the US exceeds 2 million by December 31, 2030, as reported by the Solar Energy Industries Association or the US Energy Information Administration.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
111,iter3_h4_q1,3,"The model underestimates the impact of economic factors on the adoption of renewable energy sources in the energy industry, specifically in the context of solar energy",Energy and Economics,,P,"Will the US government increase the federal tax credit for solar energy installations to $2,000 by 2027?","This question resolves as YES if the US government increases the federal tax credit for solar energy installations to $2,000 by December 31, 2027, as reported by the US Department of Energy or the Internal Revenue Service.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
110,iter3_h4_q0,3,"The model underestimates the impact of economic factors on the adoption of renewable energy sources in the energy industry, specifically in the context of solar energy",Energy and Economics,,P_and_Q,Will the global economy experience a recession by 2028 and the investment in solar energy decrease by more than 15% by 2030?,"This question resolves as YES if both conditions are met: the global economy experiences a recession by December 31, 2028, and the investment in solar energy decreases by more than 15% by December 31, 2030, as reported by the International Energy Agency or the Solar Energy Industries Association.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4077050456584014,
