,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
81,iter3_h1_q0,3,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,P,Will CRISPR Therapeutics invest more than $2.5 billion in genetic engineering research and development for rare diseases in 2028?,This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $2.5 billion in genetic engineering research and development for rare diseases in 2028.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.8248266935115237
82,iter3_h1_q0,3,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,Q_given_P,"Given that CRISPR Therapeutics invests more than $2.5 billion in genetic engineering research and development, will the company develop a new treatment for sickle cell disease using gene editing technology by 2031?",This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has developed a new treatment for sickle cell disease using gene editing technology by 2031.,0.8699999999999999,"[0.95, 0.85, 0.85, 0.85, 0.85]",0.8248266935115237
27,iter1_h3_q0,1,The model underestimates the impact of quantum computing on the global economy,Quantum Computing,Underestimation of impact,P,Will IBM invest more than $6 billion in quantum computing research and development in 2027?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6 billion in quantum computing research and development in 2027.,0.25,"[0.35, 0.15, 0.25, 0.25, 0.25]",0.7762531318213339
29,iter1_h3_q0,1,The model underestimates the impact of quantum computing on the global economy,Quantum Computing,Underestimation of impact,P_and_Q,Will IBM invest more than $6 billion in quantum computing research and development and achieve a 30% increase in adoption among Fortune 500 companies by 2030?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6 billion in quantum computing research and development in 2027, and the company's quantum computing technology achieves a 30% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.6100000000000001,"[0.65, 0.65, 0.65, 0.65, 0.45]",0.7762531318213339
28,iter1_h3_q0,1,The model underestimates the impact of quantum computing on the global economy,Quantum Computing,Underestimation of impact,Q_given_P,"Given that IBM invests more than $6 billion in quantum computing research and development, will the company's quantum computing technology achieve a 30% increase in adoption among Fortune 500 companies by 2030?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 30% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.7762531318213339
425,iter11_h1_q0,11,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,P_and_Q,Will IBM invest more than $5 billion in quantum computing research and development and achieve a 25% increase in adoption among Fortune 500 companies by 2029?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $5 billion in quantum computing research and development in 2026, and the company's quantum computing technology achieves a 25% increase in adoption among Fortune 500 companies by 2029, as measured by a reputable market research firm.",0.51,"[0.65, 0.45, 0.65, 0.35, 0.45]",0.7410063398569002
424,iter11_h1_q0,11,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,Q_given_P,"Given that IBM invests more than $5 billion in quantum computing research and development, will the company's quantum computing technology achieve a 25% increase in adoption among Fortune 500 companies by 2029?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 25% increase in adoption among Fortune 500 companies by 2029, as measured by a reputable market research firm.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.7410063398569002
423,iter11_h1_q0,11,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,P,Will IBM invest more than $5 billion in quantum computing research and development in 2026?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $5 billion in quantum computing research and development in 2026.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.7410063398569002
363,iter9_h1_q0,9,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,P,Will IBM invest more than $5 billion in quantum computing research and development in 2026?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $5 billion in quantum computing research and development in 2026.,0.1699999999999999,"[0.15, 0.15, 0.15, 0.15, 0.25]",0.7094566323508827
364,iter9_h1_q0,9,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,Q_given_P,"Given that IBM invests more than $5 billion in quantum computing research and development, will the company's quantum computing technology achieve a 25% increase in adoption among Fortune 500 companies by 2029?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 25% increase in adoption among Fortune 500 companies by 2029, as measured by a reputable market research firm.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.7094566323508827
365,iter9_h1_q0,9,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,P_and_Q,Will IBM invest more than $5 billion in quantum computing research and development and achieve a 25% increase in adoption among Fortune 500 companies by 2029?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $5 billion in quantum computing research and development in 2026, and the company's quantum computing technology achieves a 25% increase in adoption among Fortune 500 companies by 2029, as measured by a reputable market research firm.",0.51,"[0.45, 0.35, 0.65, 0.65, 0.45]",0.7094566323508827
338,iter8_h1_q1,8,The model underestimates the impact of quantum computing on the global economy,Economics and Finance,,P_and_Q,Will IBM invest more than $5 billion in quantum computing research and development and achieve a 25% increase in adoption among Fortune 500 companies by 2029?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $5 billion in quantum computing research and development in 2026, and the company's quantum computing technology achieves a 25% increase in adoption among Fortune 500 companies by 2029, as measured by a reputable market research firm.",0.47,"[0.65, 0.45, 0.45, 0.45, 0.35]",0.670016589913935
337,iter8_h1_q1,8,The model underestimates the impact of quantum computing on the global economy,Economics and Finance,,Q_given_P,"Given that IBM invests more than $5 billion in quantum computing research and development, will the company's quantum computing technology achieve a 25% increase in adoption among Fortune 500 companies by 2029?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 25% increase in adoption among Fortune 500 companies by 2029, as measured by a reputable market research firm.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.670016589913935
336,iter8_h1_q1,8,The model underestimates the impact of quantum computing on the global economy,Economics and Finance,,P,Will IBM invest more than $5 billion in quantum computing research and development in 2026?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $5 billion in quantum computing research and development in 2026.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.670016589913935
18,iter1_h2_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P,Will IBM invest more than $6.5 billion in quantum computing research and development in 2027?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6.5 billion in quantum computing research and development in 2027.,0.2099999999999999,"[0.15, 0.15, 0.15, 0.25, 0.35]",0.6679647655964072
20,iter1_h2_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P_and_Q,Will IBM invest more than $6.5 billion in quantum computing research and development and achieve a 32% increase in adoption among Fortune 500 companies by 2030?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6.5 billion in quantum computing research and development in 2027, and the company's quantum computing technology achieves a 32% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.45,"[0.65, 0.45, 0.45, 0.35, 0.35]",0.6679647655964072
19,iter1_h2_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,Q_given_P,"Given that IBM invests more than $6.5 billion in quantum computing research and development, will the company's quantum computing technology achieve a 32% increase in adoption among Fortune 500 companies by 2030?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 32% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.43,"[0.35, 0.65, 0.35, 0.35, 0.45]",0.6679647655964072
49,iter2_h0_q1,2,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,Q_given_P,"Given that Google develops a functional quantum computer, will the company's quantum computing technology achieve a 25% increase in accuracy in simulating complex chemical reactions by 2030?","This question resolves as YES if Google's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 25% increase in accuracy in simulating complex chemical reactions by 2030, as measured by a standardized benchmarking test.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.661190196848508
50,iter2_h0_q1,2,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,P_and_Q,Will Google develop a functional quantum computer and achieve a 25% increase in accuracy in simulating complex chemical reactions by 2030?,"This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2028, and the company's quantum computing technology achieves a 25% increase in accuracy in simulating complex chemical reactions by 2030, as measured by a standardized benchmarking test.",0.624,"[0.72, 0.65, 0.65, 0.65, 0.45]",0.661190196848508
48,iter2_h0_q1,2,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,P,Will Google develop a functional quantum computer that can simulate complex chemical reactions by 2028?,This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2028.,0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.661190196848508
53,iter2_h1_q0,2,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,P_and_Q,Will CRISPR Therapeutics invest more than $1.5 billion in genetic engineering research and development and develop a new treatment for sickle cell disease using gene editing technology by 2030?,"This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1.5 billion in genetic engineering research and development for rare diseases in 2027, and the company develops a new treatment for sickle cell disease using gene editing technology by 2030.",0.6699999999999999,"[0.65, 0.75, 0.65, 0.65, 0.65]",0.6354820896907223
52,iter2_h1_q0,2,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,Q_given_P,"Given that CRISPR Therapeutics invests more than $1.5 billion in genetic engineering research and development, will the company develop a new treatment for sickle cell disease using gene editing technology by 2030?",This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has developed a new treatment for sickle cell disease using gene editing technology by 2030.,0.92,"[0.85, 0.85, 0.95, 1.0, 0.95]",0.6354820896907223
51,iter2_h1_q0,2,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,P,Will CRISPR Therapeutics invest more than $1.5 billion in genetic engineering research and development for rare diseases in 2027?,This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1.5 billion in genetic engineering research and development for rare diseases in 2027.,0.29,"[0.35, 0.25, 0.35, 0.25, 0.25]",0.6354820896907223
428,iter11_h1_q1,11,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,P_and_Q,Will Google develop a functional quantum computer and achieve a 20% increase in accuracy in simulating complex chemical reactions by 2028?,"This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2027, and the company's quantum computing technology achieves a 20% increase in accuracy in simulating complex chemical reactions by 2028, as measured by a standardized benchmarking test.",0.6100000000000001,"[0.65, 0.65, 0.65, 0.65, 0.45]",0.6349586370836046
427,iter11_h1_q1,11,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,Q_given_P,"Given that Google develops a functional quantum computer, will the company's quantum computing technology achieve a 20% increase in accuracy in simulating complex chemical reactions by 2028?","This question resolves as YES if Google's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 20% increase in accuracy in simulating complex chemical reactions by 2028, as measured by a standardized benchmarking test.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.6349586370836046
426,iter11_h1_q1,11,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,,P,Will Google develop a functional quantum computer that can simulate complex chemical reactions by 2027?,This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2027.,0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.6349586370836046
342,iter8_h2_q1,8,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology and Medicine,,P,Will the FDA approve more than 10 new gene therapies for rare diseases in 2027?,This question resolves as YES if the FDA's official website or a reputable biotech news source reports that the agency has approved more than 10 new gene therapies for rare diseases in 2027.,0.38,"[0.35, 0.35, 0.4, 0.45, 0.35]",0.6231601160691898
344,iter8_h2_q1,8,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology and Medicine,,P_and_Q,Will the FDA approve more than 10 new gene therapies and the global gene therapy market reach $50 billion in revenue by 2029?,"This question resolves as YES if the FDA's official website or a reputable biotech news source reports that the agency has approved more than 10 new gene therapies for rare diseases in 2027, and a reputable market research firm reports that the global gene therapy market has reached $50 billion in revenue by 2029.",0.67,"[0.65, 0.65, 0.65, 0.75, 0.65]",0.6231601160691898
343,iter8_h2_q1,8,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology and Medicine,,Q_given_P,"Given that the FDA approves more than 10 new gene therapies, will the global gene therapy market reach $50 billion in revenue by 2029?",This question resolves as YES if a reputable market research firm (such as Grand View Research or MarketsandMarkets) reports that the global gene therapy market has reached $50 billion in revenue by 2029.,0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.6231601160691898
390,iter10_h0_q1,10,The model overestimates the correlation between the development of quantum computing and the improvement of artificial general intelligence (AGI) in the field of natural language processing,AI and Computing,,P,Will Microsoft develop a functional quantum computer that can process natural language inputs by 2028?,This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can process natural language inputs by 2028.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.604199246253693
391,iter10_h0_q1,10,The model overestimates the correlation between the development of quantum computing and the improvement of artificial general intelligence (AGI) in the field of natural language processing,AI and Computing,,Q_given_P,"Given that Microsoft develops a functional quantum computer, will the company's AGI technology achieve a 30% increase in accuracy in NLP tasks by 2030?","This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company's AGI technology has achieved a 30% increase in accuracy in NLP tasks by 2030, as measured by a standardized NLP benchmarking test.",0.3299999999999999,"[0.15, 0.35, 0.35, 0.45, 0.35]",0.604199246253693
392,iter10_h0_q1,10,The model overestimates the correlation between the development of quantum computing and the improvement of artificial general intelligence (AGI) in the field of natural language processing,AI and Computing,,P_and_Q,Will Microsoft develop a functional quantum computer and achieve a 30% increase in accuracy in NLP tasks by 2030?,"This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can process natural language inputs by 2028, and the company's AGI technology achieves a 30% increase in accuracy in NLP tasks by 2030, as measured by a standardized NLP benchmarking test.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.604199246253693
103,iter3_h4_q1,3,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,Q_given_P,"Given that Google develops a functional quantum computer, will the company's quantum computing technology achieve a 25% increase in accuracy in simulating complex chemical reactions by 2032?","This question resolves as YES if Google's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 25% increase in accuracy in simulating complex chemical reactions by 2032, as measured by a standardized benchmarking test.",0.6779999999999999,"[0.72, 0.65, 0.65, 0.65, 0.72]",0.580327843220858
104,iter3_h4_q1,3,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,P_and_Q,Will Google develop a functional quantum computer and achieve a 25% increase in accuracy in simulating complex chemical reactions by 2032?,"This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2030, and the company's quantum computing technology achieves a 25% increase in accuracy in simulating complex chemical reactions by 2032, as measured by a standardized benchmarking test.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.580327843220858
102,iter3_h4_q1,3,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,P,Will Google develop a functional quantum computer that can simulate complex chemical reactions by 2030?,This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2030.,0.43,"[0.45, 0.45, 0.45, 0.35, 0.45]",0.580327843220858
441,iter11_h4_q0,11,The model overestimates the correlation between the development of quantum computing and the improvement of artificial general intelligence (AGI) in the field of natural language processing,Quantum Computing and AI,,P,Will Microsoft develop a functional quantum computer that can process natural language inputs by 2028?,This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can process natural language inputs by 2028.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.5729418518950083
442,iter11_h4_q0,11,The model overestimates the correlation between the development of quantum computing and the improvement of artificial general intelligence (AGI) in the field of natural language processing,Quantum Computing and AI,,Q_given_P,"Given that Microsoft develops a functional quantum computer, will the company's AGI technology achieve a 30% increase in accuracy in NLP tasks by 2030?","This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company's AGI technology has achieved a 30% increase in accuracy in NLP tasks by 2030, as measured by a standardized NLP benchmarking test.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.5729418518950083
443,iter11_h4_q0,11,The model overestimates the correlation between the development of quantum computing and the improvement of artificial general intelligence (AGI) in the field of natural language processing,Quantum Computing and AI,,P_and_Q,Will Microsoft develop a functional quantum computer and achieve a 30% increase in accuracy in NLP tasks by 2030?,"This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can process natural language inputs by 2028, and the company's AGI technology achieves a 30% increase in accuracy in NLP tasks by 2030, as measured by a standardized NLP benchmarking test.",0.336,"[0.28, 0.35, 0.35, 0.35, 0.35]",0.5729418518950083
47,iter2_h0_q0,2,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,P_and_Q,Will IBM invest more than $7 billion in quantum computing research and development and achieve a 30% increase in adoption among Fortune 500 companies by 2030?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $7 billion in quantum computing research and development in 2029, and the company's quantum computing technology achieves a 30% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.61,"[0.45, 0.65, 0.65, 0.65, 0.65]",0.5577110805490004
46,iter2_h0_q0,2,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,Q_given_P,"Given that IBM invests more than $7 billion in quantum computing research and development, will the company's quantum computing technology achieve a 30% increase in adoption among Fortune 500 companies by 2030?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 30% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.5577110805490004
45,iter2_h0_q0,2,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",AI and Computing,,P,Will IBM invest more than $7 billion in quantum computing research and development in 2029?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $7 billion in quantum computing research and development in 2029.,0.41,"[0.35, 0.35, 0.35, 0.65, 0.35]",0.5577110805490004
38,iter1_h4_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P_and_Q,Will Google develop a functional quantum computer and achieve a 22% increase in accuracy in simulating complex chemical reactions by 2030?,"This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2028, and the company's quantum computing technology achieves a 22% increase in accuracy in simulating complex chemical reactions by 2030, as measured by a standardized benchmarking test.",0.5700000000000001,"[0.65, 0.65, 0.45, 0.65, 0.45]",0.5375486452175559
37,iter1_h4_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,Q_given_P,"Given that Google develops a functional quantum computer, will the company's quantum computing technology achieve a 22% increase in accuracy in simulating complex chemical reactions by 2030?","This question resolves as YES if Google's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 22% increase in accuracy in simulating complex chemical reactions by 2030, as measured by a standardized benchmarking test.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.5375486452175559
36,iter1_h4_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P,Will Google develop a functional quantum computer that can simulate complex chemical reactions by 2028?,This question resolves as YES if Google's official website or a reputable tech news source reports that the company has developed a functional quantum computer that can simulate complex chemical reactions by 2028.,0.37,"[0.35, 0.35, 0.35, 0.35, 0.45]",0.5375486452175559
87,iter3_h2_q0,3,The model underestimates the impact of quantum computing on the global economy,AI and Computing,,P,Will Microsoft invest more than $9 billion in quantum computing research and development in 2030?,This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company has invested more than $9 billion in quantum computing research and development in 2030.,0.2299999999999999,"[0.15, 0.35, 0.35, 0.15, 0.15]",0.5262813694216503
88,iter3_h2_q0,3,The model underestimates the impact of quantum computing on the global economy,AI and Computing,,Q_given_P,"Given that Microsoft invests more than $9 billion in quantum computing research and development, will the company's quantum computing technology achieve a 40% increase in adoption among small and medium-sized businesses by 2033?","This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 40% increase in adoption among small and medium-sized businesses by 2033, as measured by a reputable market research firm.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.5262813694216503
89,iter3_h2_q0,3,The model underestimates the impact of quantum computing on the global economy,AI and Computing,,P_and_Q,Will Microsoft invest more than $9 billion in quantum computing research and development and achieve a 40% increase in adoption among small and medium-sized businesses by 2033?,"This question resolves as YES if Microsoft's official website or a reputable tech news source reports that the company has invested more than $9 billion in quantum computing research and development in 2030, and the company's quantum computing technology achieves a 40% increase in adoption among small and medium-sized businesses by 2033, as measured by a reputable market research firm.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.5262813694216503
259,iter5_h3_q1,5,The model underestimates the impact of cybersecurity threats on the global economy,Cybersecurity,,Q_given_P,"Given that the United States government invests more than $5 billion in cybersecurity research and development, will the number of cybersecurity-related jobs increase by more than 25% in 2026?","This question resolves as YES if the Bureau of Labor Statistics (BLS) or a reputable job market analytics firm (such as LinkedIn or Glassdoor) reports that the number of cybersecurity-related jobs has increased by more than 25% in 2026, compared to 2025.",0.4840000000000001,"[0.72, 0.65, 0.35, 0.35, 0.35]",0.526042591280088
