,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
446,iter5_h0_q0,5,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2027 and Microsoft integrate quantum computing into its AGI research by 2028?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2028. Resolution source: Google's official blog and Microsoft's official blog.",0.4800000000000001,"[0.3, 0.55, 0.35, 0.65, 0.55]",0.5034384092172586
445,iter5_h0_q0,5,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2028?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2028, as reported by Microsoft's official blog or reputable tech outlets like TechCrunch. Resolution source: Microsoft's official blog or TechCrunch.",0.438,"[0.42, 0.35, 0.42, 0.35, 0.65]",0.5034384092172586
444,iter5_h0_q0,5,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2027?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2027, as reported by Google's official blog or reputable tech outlets like The Verge. Resolution source: Google's official blog or The Verge.",0.4239999999999999,"[0.35, 0.35, 0.35, 0.42, 0.65]",0.5034384092172586
538,iter8_h0_q1,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Amazon integrate the chip into its AGI research by 2030?","This question resolves as YES if Amazon officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2030, as reported by Amazon's official blog or reputable tech outlets like The Next Web. Resolution source: Amazon's official blog or The Next Web.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.4956395097248979
539,iter8_h0_q1,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2029 and Amazon integrate the chip into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Amazon's official blog. Resolution date: December 31, 2030. Resolution source: NVIDIA's official website and Amazon's official blog.",0.356,"[0.12, 0.22, 0.4, 0.8, 0.24]",0.4956395097248979
537,iter8_h0_q1,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2029?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2029, as reported by NVIDIA's official website or reputable tech outlets like Wired. Resolution source: NVIDIA's official website or Wired.",0.278,"[0.55, 0.25, 0.12, 0.35, 0.12]",0.4956395097248979
264,iter9_h0_q0,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by Google's official blog or reputable tech outlets like The Verge.",0.528,"[0.42, 0.35, 0.6, 0.65, 0.62]",0.4908795966344331
265,iter9_h0_q0,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2030?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2030, as reported by Microsoft's official blog or reputable tech outlets like CNET.",0.51,"[0.55, 0.65, 0.65, 0.35, 0.35]",0.4908795966344331
266,iter9_h0_q0,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2028 and Microsoft integrate quantum computing into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2030. Resolution source: Google's official blog and Microsoft's official blog.",0.572,"[0.65, 0.35, 0.65, 0.65, 0.56]",0.4908795966344331
596,iter10_h0_q0,10,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2028 and Microsoft integrate quantum computing into its AGI research by 2029?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2029. Resolution source: Google's official blog and Microsoft's official blog.",0.562,"[0.56, 0.8, 0.45, 0.45, 0.55]",0.4629137324097186
595,iter10_h0_q0,10,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2029?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2029, as reported by Microsoft's official blog or reputable tech outlets like TechCrunch. Resolution source: Microsoft's official blog or TechCrunch.",0.552,"[0.65, 0.65, 0.42, 0.42, 0.62]",0.4629137324097186
594,iter10_h0_q0,10,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by Google's official blog or reputable tech outlets like The Verge. Resolution source: Google's official blog or The Verge.",0.4979999999999999,"[0.65, 0.35, 0.65, 0.42, 0.42]",0.4629137324097186
177,iter6_h0_q1,6,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2030?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2030, as reported by NVIDIA's official website or reputable tech outlets like Wired.",0.43,"[0.35, 0.25, 0.25, 0.65, 0.65]",0.4607056685187177
179,iter6_h0_q1,6,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2030 and Apple integrate the chip into its AGI research by 2032?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Apple's official website. Resolution date: December 31, 2032. Resolution source: NVIDIA's official website and Apple's official website.",0.418,"[0.28, 0.28, 0.56, 0.32, 0.65]",0.4607056685187177
178,iter6_h0_q1,6,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Apple integrate the chip into its AGI research by 2032?","This question resolves as YES if Apple officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2032, as reported by Apple's official website or reputable tech outlets like MacRumors.",0.366,"[0.25, 0.35, 0.35, 0.23, 0.65]",0.4607056685187177
557,iter8_h3_q1,8,The model overgeneralizes trends in the technology sector without considering specific company characteristics,Technology,,P_and_Q,Will both Amazon's cloud computing market share increase by more than 15% by 2029 and Microsoft's cloud computing market share decrease by more than 10% by 2030?,"This question resolves as YES if both conditions are met, as reported by Canalys. Resolution date: December 31, 2030. Resolution source: Canalys.",0.104,"[0.12, 0.05, 0.15, 0.15, 0.05]",0.4574747537745127
555,iter8_h3_q1,8,The model overgeneralizes trends in the technology sector without considering specific company characteristics,Technology,,P,Will Amazon's cloud computing market share increase by more than 15% by 2029?,"This question resolves as YES if Amazon's cloud computing market share increases by more than 15% by December 31, 2029, as reported by Canalys or reputable tech outlets like ZDNet. Resolution source: Canalys or ZDNet.",0.6900000000000001,"[0.65, 0.65, 0.65, 0.75, 0.75]",0.4574747537745127
556,iter8_h3_q1,8,The model overgeneralizes trends in the technology sector without considering specific company characteristics,Technology,,Q_given_P,"Given that Amazon's cloud computing market share increases by more than 15%, will Microsoft's cloud computing market share decrease by more than 10% by 2030?","This question resolves as YES if Microsoft's cloud computing market share decreases by more than 10% by December 31, 2030, as reported by Canalys or reputable tech outlets like TechCrunch. Resolution source: Canalys or TechCrunch.",0.492,"[0.55, 0.42, 0.65, 0.42, 0.42]",0.4574747537745127
207,iter7_h0_q1,7,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2030?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2030, as reported by NVIDIA's official website or reputable tech outlets like Wired.",0.484,"[0.35, 0.65, 0.65, 0.35, 0.42]",0.456286853507341
208,iter7_h0_q1,7,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Apple integrate the chip into its AGI research by 2032?","This question resolves as YES if Apple officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2032, as reported by Apple's official website or reputable tech outlets like MacRumors.",0.29,"[0.25, 0.25, 0.35, 0.35, 0.25]",0.456286853507341
209,iter7_h0_q1,7,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2030 and Apple integrate the chip into its AGI research by 2032?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Apple's official website. Resolution date: December 31, 2032. Resolution source: NVIDIA's official website and Apple's official website.",0.394,"[0.35, 0.65, 0.2, 0.32, 0.45]",0.456286853507341
137,iter4_h3_q1,4,"The model overgeneralizes the impact of social media on mental health, without considering the effects of individual differences and online behaviors",Social Media and Mental Health,,P_and_Q,Will both stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2032 and the decrease in social media usage lead to improved mental health outcomes among teenagers by 2034?,"This question resolves as YES if both conditions are met, as reported by the Federal Trade Commission (FTC) and the Centers for Disease Control and Prevention (CDC). Resolution date: December 31, 2034. Resolution source: FTC and CDC.",0.346,"[0.35, 0.35, 0.23, 0.45, 0.35]",0.4544347792717868
136,iter4_h3_q1,4,"The model overgeneralizes the impact of social media on mental health, without considering the effects of individual differences and online behaviors",Social Media and Mental Health,,Q_given_P,"Given that stricter social media regulations lead to a significant decrease in social media usage among teenagers, will the decrease in social media usage lead to improved mental health outcomes among teenagers by 2034?","This question resolves as YES if the decrease in social media usage resulting from stricter social media regulations leads to improved mental health outcomes among teenagers by December 31, 2034, as reported by the Centers for Disease Control and Prevention (CDC) or reputable health outlets like Healthline.",0.3059999999999999,"[0.35, 0.25, 0.35, 0.23, 0.35]",0.4544347792717868
135,iter4_h3_q1,4,"The model overgeneralizes the impact of social media on mental health, without considering the effects of individual differences and online behaviors",Social Media and Mental Health,,P,Will the implementation of stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2032?,"This question resolves as YES if the implementation of stricter social media regulations leads to a significant decrease in social media usage among teenagers by December 31, 2032, as reported by the Federal Trade Commission (FTC) or reputable outlets like The New York Times.",0.352,"[0.42, 0.42, 0.25, 0.25, 0.42]",0.4544347792717868
