model,P,Q,P_and_Q,consistency_score,check_type,sample_id
gpt-4o,Will a swimmer win the most gold medals at the 2024 Paris Olympics? The question resolves as **Yes** if the athlete with the highest number of 2024 Olympic gold medals competes in the swimming events.,"Given that a swimmer wins the most gold medals at the 2024 Paris Olympics, will a track and field athlete win the most gold medals at the 2024 Paris Olympics? Given that the athlete with the highest number of 2024 Olympic gold medals competes in the swimming events, this question asks if the athlete with the highest number of 2024 Olympic gold medals also competes in track and field events. This includes any events categorized under track and field according to the official 2024 Paris Olympics guidelines. The resolution of this question depends on the official medal count as released by the Olympic committee at the conclusion of the event.",Will both a swimmer and a track and field athlete win the most gold medals at the 2024 Paris Olympics? The question resolves as **Yes** if both of the following occur: (a) The athlete with the highest number of 2024 Olympic gold medals competes in the swimming events. (b) The athlete with the highest number of 2024 Olympic gold medals competes in track and field events. This includes any events categorized under track and field according to the official 2024 Paris Olympics guidelines. The resolution of this question depends on the official medal count as released by the Olympic committee at the conclusion of the event.,0.30028062436095676,eval_file,60
gpt-4o,"Will Austria qualify for the Grand Final in Eurovision 2024? This question will resolve as **Yes** if Austria participates in a Semi-final and is officially announced by the European Broadcasting Union (EBU) as having qualified for the Eurovision 2024 Grand Final. Otherwise, it will resolve as **No**.","Given that Austria qualifies for the Grand Final in Eurovision 2024, will a country from the Nordics win the Eurovision Song Contest in 2024? Given that Austria participates in a Semi-final and is officially announced by the European Broadcasting Union (EBU) as having qualified for the Eurovision 2024 Grand Final, this question asks if a country classified as part of the Nordic region (Denmark, Finland, Iceland, Norway, or Sweden) is announced as the winner of the Eurovision Song Contest 2024 by the European Broadcasting Union (EBU). This explores outcome trends related to regional performance and alliances in the contest. The question will resolve as **Yes** if a Nordic country wins, and as **No** only if Austria qualifies for the Grand Final and no Nordic country wins.","Will both Austria qualify for the Grand Final in Eurovision 2024 AND a Nordic country win the Eurovision Song Contest in 2024? This question will resolve as **Yes** if both of the following conditions are met: (1) Austria participates in a Semi-final and is officially announced by the European Broadcasting Union (EBU) as having qualified for the Eurovision 2024 Grand Final, and (2) a country classified as part of the Nordic region (Denmark, Finland, Iceland, Norway, or Sweden) is announced as the winner of the Eurovision Song Contest 2024 by the European Broadcasting Union (EBU). Otherwise, it will resolve as **No**. This explores outcome trends related to regional performance and alliances in the contest.",0.2953790553338385,eval_file,57
gpt-4o-mini,"Kamala president by Friday? This market will resolve to ""Yes"" if Vice President Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the US government, however a consensus of credible reporting will also be used.

Resolver","Given that Kamala Harris is president by Friday, will the U.S. pass a major climate change bill by the end of 2024? Given that Vice President Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET, this question asks if a significant climate change legislation, recognized as such by major news outlets and entailing substantial governmental commitment or regulation changes (e.g., renewable energy investments, emissions reductions), will be signed into law by the President of the United States before 11:59 PM ET on December 31, 2024. The primary resolution source for the first condition will be official information from the US government, with a consensus of credible reporting also being used. For the second condition, the primary sources will include official government records and credible reporting from major media organizations. A ""No"" resolution will occur if no such legislation is passed and signed into law by the deadline.","Will both Kamala Harris be designated as President or Acting President by July 26, 2024, and the U.S. pass a major climate change bill by the end of 2024? This question will resolve to ""Yes"" if both of the following conditions are met: 

(a) Vice President Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET. The primary resolution source for this condition will be official information from the US government, however, a consensus of credible reporting will also be used. 

(b) A significant climate change legislation, recognized as such by major news outlets and entailing substantial governmental commitment or regulation changes (e.g., renewable energy investments, emissions reductions), is signed into law by the President of the United States before 11:59 PM ET on December 31, 2024. The primary sources for this condition will include official government records and credible reporting from major media organizations. 

If either or both of these conditions are not met, this question will resolve to ""No"".",0.8085005744005956,eval_file,89
gpt-4o-mini,"Will there be any break between Kagurabachi chapters 40 and 41? A break can be any amount of time, enough for Shonen Jump to state at the end of chapters if there will be a break before the next one.

“YES” = “Yes, there will be a break after chapter 40”

“NO” = “No, there will not be a break after chapter 40”

Plan to close this on official release, will close earlier if known-accurate leakers post any details about a break ahead of time. I do not vote in my own questions.","Given that there is a break between Kagurabachi chapters 40 and 41, will One Piece have a scheduled break between chapters 1100 and 1101? Given that there is a break between Kagurabachi chapters 40 and 41, where a break can be any amount of time sufficient for Shonen Jump to state at the end of chapters if there will be a break before the next one, this question asks if One Piece will have a scheduled break between chapters 1100 and 1101. This means whether there will be a scheduled break after the release of chapter 1100 of the manga series One Piece, before chapter 1101 is published. A scheduled break is defined as a delay announced in the official publication (e.g., Shonen Jump magazine) indicating that the next chapter will not follow the usual weekly release pattern. The question will resolve to ""Yes"" if there is any such official announcement of a break for this specific transition, and ""No"" otherwise. Information will be taken from the official release schedules, and it will close based on the publication dates for the relevant chapters. The Kagurabachi question will resolve as ""Yes"" if there is a break after chapter 40, and ""No"" if there is not. The One Piece question will resolve based on the official announcement of a break.","Will there be a break between Kagurabachi chapters 40 and 41 AND a scheduled break between One Piece chapters 1100 and 1101? Will both of the following occur: (a) There will be a break after Kagurabachi chapter 40, and (b) There will be a scheduled break after One Piece chapter 1100 before chapter 1101 is published?

For Kagurabachi, a break can be any amount of time, enough for Shonen Jump to state at the end of chapters if there will be a break before the next one. The question will resolve to ""Yes"" if there is a break after chapter 40, and ""No"" if there is not. This will be determined based on the official release or known-accurate leakers posting details about a break ahead of time. The question will close on the official release, or earlier if leakers provide accurate information. 

For One Piece, this question asks whether there will be a scheduled break after the release of chapter 1100 of the manga series One Piece, before chapter 1101 is published. A scheduled break is defined as a delay announced in the official publication (e.g., Shonen Jump magazine) indicating that the next chapter will not follow the usual weekly release pattern. The question will resolve to ""Yes"" if there is any such official announcement of a break for this specific transition, and ""No"" otherwise. Information will be taken from the official release schedules, and it will close based on the publication dates for the relevant chapters. 

Both conditions must be met for the final question to resolve to ""Yes.""",0.6987786681239052,eval_file,67
gpt-4o-mini,"Will Iran carry out a deadly attack within Israel before May 1, 2024? This question resolves **Yes** if, following the date of this question's publication and before May 1, 2024, credible reports indicate that an attack attributed to Iran and occurring within Israel's borders has led to the death of at least five individuals.","Given that Iran carries out a deadly attack within Israel before May 1, 2024, will the United States impose new sanctions on Iran before May 1, 2024? Given that Iran carries out a deadly attack within Israel before May 1, 2024, this question asks if the United States will impose new sanctions on Iran before May 1, 2024. The first condition resolves **Yes** if, following the date of this question's publication and before May 1, 2024, credible reports indicate that an attack attributed to Iran and occurring within Israel's borders has led to the death of at least five individuals. The second condition resolves to **Yes** if, before May 1, 2024, the United States announces the imposition of new economic, trade, or diplomatic sanctions specifically targeting Iran. These sanctions must be publicly acknowledged by official U.S. government channels and must be in direct response to geopolitical tensions or conflict involving Iran, not for unrelated reasons or routine policy updates.","Will both Iran carry out a deadly attack within Israel and the United States impose new sanctions on Iran before May 1, 2024? This question resolves to **Yes** if both of the following conditions are met:

(a) Following the date of this question's publication and before May 1, 2024, credible reports indicate that an attack attributed to Iran and occurring within Israel's borders has led to the death of at least five individuals. This includes all news reports and quotes, current situation descriptions, historical background, and cited sources and their specific claims.

(b) Before May 1, 2024, the United States announces the imposition of new economic, trade, or diplomatic sanctions specifically targeting Iran. These sanctions must be publicly acknowledged by official U.S. government channels and must be in direct response to geopolitical tensions or conflict involving Iran, not for unrelated reasons or routine policy updates. This includes all news reports and quotes, current situation descriptions, historical background, and cited sources and their specific claims.

All specific dates and deadlines, numerical thresholds, qualifying conditions, and examples of what does/doesn't qualify from both original questions are included in this combined question.",0.6893179968492904,eval_file,4
gpt-4o-mini,"Will a group of at least 5 named Dem House Members or US Senators pressure Biden to drop out before July 20th? Politico reports:

Two safe-seat members have already publicly urged Biden out. Two of the most endangered Democrats told local news outlets they’ve already written off Biden’s chances to win in November.

Behind the scenes, things are even more frenzied. There are multiple drafts of letters circulating among House Democrats and at least one would call on Biden to end his campaign, according to five people familiar with the efforts.

This market resolves YES if a group of at least five named Democratic Party US House Members/US Senators work together to ask Joe Biden to consider ending his 2024 re-election campaign, or to urge him to do so, before Saturday July 20th (Pacific Time).

This could be by signing a letter like what is reported above, but it could also be in another form such as a group speaking with Biden in person and collectively asking him to drop out.

This market requires that all five individuals be part of the same group message. Five people separately telling reporters they think Biden should drop out is not sufficient for a YES resolution.

Reports of any number of unnamed democrats writing to Biden and asking him to step aside will not satisfy this market's criteria unless at least 5 qualifying names are later made public before this market's end date. In any ambiguous cases where such names are reported but not confirmed beyond a reasonable doubt, this market will err towards resolving NO. 

If these criteria are not met before July 20th, this market resolves NO.","Given that a group of at least 5 named Dem House Members or US Senators pressure Biden to drop out before July 20th, will Joe Biden's approval rating drop below 40% by July 1st? Given that a group of at least five named Democratic Party US House Members or US Senators work together to ask Joe Biden to consider ending his 2024 re-election campaign, or to urge him to do so, before Saturday, July 20th (Pacific Time), this question asks if Joe Biden's national approval rating, as aggregated by major polling sources, will fall below 40% at any point before July 1st, 2024. 

Politico reports that two safe-seat members have already publicly urged Biden out, and two of the most endangered Democrats have told local news outlets they’ve already written off Biden’s chances to win in November. Behind the scenes, there are multiple drafts of letters circulating among House Democrats, and at least one would call on Biden to end his campaign, according to five people familiar with the efforts. This market resolves YES if a group of at least five named Democratic Party US House Members/US Senators work together to ask Joe Biden to consider ending his 2024 re-election campaign, or to urge him to do so, before Saturday, July 20th (Pacific Time). This could be by signing a letter like what is reported above, but it could also be in another form such as a group speaking with Biden in person and collectively asking him to drop out. This market requires that all five individuals be part of the same group message. Five people separately telling reporters they think Biden should drop out is not sufficient for a YES resolution. Reports of any number of unnamed Democrats writing to Biden and asking him to step aside will not satisfy this market's criteria unless at least 5 qualifying names are later made public before this market's end date. In any ambiguous cases where such names are reported but not confirmed beyond a reasonable doubt, this market will err towards resolving NO. If these criteria are not met before July 20th, this market resolves NO.

The approval rating will be determined by the average from reputable polling aggregators such as FiveThirtyEight or RealClearPolitics. It reflects public sentiment and can indicate potential vulnerability or lack of confidence in Biden’s leadership, possibly correlating with pressures from within his party regarding his presidential campaign.","Will both a group of at least 5 named Democratic House Members or US Senators pressure Biden to drop out before July 20th AND Joe Biden's approval rating drop below 40% by July 1st? Politico reports:

Two safe-seat members have already publicly urged Biden out. Two of the most endangered Democrats told local news outlets they’ve already written off Biden’s chances to win in November.

Behind the scenes, things are even more frenzied. There are multiple drafts of letters circulating among House Democrats and at least one would call on Biden to end his campaign, according to five people familiar with the efforts.

This market resolves YES if a group of at least five named Democratic Party US House Members/US Senators work together to ask Joe Biden to consider ending his 2024 re-election campaign, or to urge him to do so, before Saturday July 20th (Pacific Time).

This could be by signing a letter like what is reported above, but it could also be in another form such as a group speaking with Biden in person and collectively asking him to drop out.

This market requires that all five individuals be part of the same group message. Five people separately telling reporters they think Biden should drop out is not sufficient for a YES resolution.

Reports of any number of unnamed democrats writing to Biden and asking him to step aside will not satisfy this market's criteria unless at least 5 qualifying names are later made public before this market's end date. In any ambiguous cases where such names are reported but not confirmed beyond a reasonable doubt, this market will err towards resolving NO. 

If these criteria are not met before July 20th, this market resolves NO.

Additionally, this question forecasts whether Joe Biden's national approval rating, as aggregated by major polling sources, will fall below 40% at any point before July 1st, 2024. The approval rating will be determined by the average from reputable polling aggregators such as FiveThirtyEight or RealClearPolitics. It reflects public sentiment and can indicate potential vulnerability or lack of confidence in Biden’s leadership, possibly correlating with pressures from within his party regarding his presidential campaign. 

For this combined question to resolve YES, both of the following must occur: (1) A group of at least five named Democratic Party US House Members/US Senators must work together to ask Joe Biden to consider ending his 2024 re-election campaign, or to urge him to do so, before July 20th, 2024, and (2) Joe Biden's national approval rating must fall below 40% at any point before July 1st, 2024. If either condition is not met, this question resolves NO.",0.5436935956729119,eval_file,55
gpt-4o-mini,"Will the governor of Gagauzia, Evghenia Guțul, travel to the Russian Federation before June 1, 2024? This question will resolve as **Yes** if, after April 24, 2024, and before June 1, 2024, credible sources report that Evghenia Guțul has traveled to Russian territory within that period.","Given that the governor of Gagauzia, Evghenia Guțul, travels to the Russian Federation before June 1, 2024, will Gagauzia increase its exports to Russia by over 15% in the first half of 2024? Given that the governor of Gagauzia, Evghenia Guțul, travels to the Russian Federation after April 24, 2024, and before June 1, 2024, this question asks if the total value of exports from Gagauzia to the Russian Federation will increase by more than 15% in the period from January 1, 2024, to June 30, 2024, compared to the same period in 2023. This question will resolve as **Yes** if credible sources report that Evghenia Guțul has traveled to Russian territory within the specified period, and if official trade statistics from credible economic publications or government reports indicate that the total value of exports from Gagauzia to the Russian Federation has increased by more than 15% in the specified timeframe. All specific dates, numerical thresholds, and qualifying conditions from both original questions are included to ensure comprehensive resolution criteria.","Will both Evghenia Guțul travel to the Russian Federation before June 1, 2024, and Gagauzia increase its exports to Russia by over 15% in the first half of 2024? This question will resolve as **Yes** if both of the following conditions are met:

1. After April 24, 2024, and before June 1, 2024, credible sources report that Evghenia Guțul, the governor of Gagauzia, has traveled to Russian territory within that period. This will be determined based on reports from credible news sources confirming her travel to the Russian Federation during the specified timeframe.

2. The total value of exports from Gagauzia to the Russian Federation increases by more than 15% in the period from January 1, 2024, to June 30, 2024, compared to the same period in 2023. This will be determined using official trade statistics from credible economic publications or government reports. The increase must be calculated based on the total export value for the specified periods in 2023 and 2024.

Both conditions must be satisfied for this question to resolve as **Yes**. If either condition is not met, the question will resolve as **No**.",0.5137556202541076,eval_file,98
gpt-4o-mini,"Will the ID political group hold the most seats after the 2024 European Parliamentary Elections? This question will resolve as **Yes** if the ID political group holds the most seats after the 2024 European Parliament elections. It will resolve as **No** for all other political groups. If two groups are tied for seats, both sub-questions will resolve as **Yes**.

This question resolves on the basis of [official statements by the European Parliament](https://www.europarl.europa.eu/portal/en) or credible media reports.","Given that the ID political group holds the most seats after the 2024 European Parliamentary Elections, will public opinion in the EU become more favorable to immigration by the end of 2024? Given that the ID political group holds the most seats after the 2024 European Parliament elections, this question asks if public opinion in the EU will become more favorable to immigration by the end of 2024. The first condition will resolve as **Yes** if the ID political group holds the most seats after the 2024 European Parliament elections. It will resolve as **No** for all other political groups. If two groups are tied for seats, both sub-questions will resolve as **Yes**. This question resolves on the basis of [official statements by the European Parliament](https://www.europarl.europa.eu/portal/en) or credible media reports.

The second condition will resolve as **Yes** if surveys from at least three prominent polling organizations (e.g., Eurobarometer, Pew Research Center, Ipsos) indicate that public sentiment across at least 10 EU countries is more favorable towards immigration at the end of 2024 compared to the beginning of the year. The sentiment is measured by comparing approval ratings or positive opinion percentages about immigration, aggregated from the selected countries. The question will resolve as **No** if these conditions are not met by December 31, 2024.","Will both the ID political group hold the most seats after the 2024 European Parliamentary Elections AND public opinion in the EU become more favorable to immigration by the end of 2024? This question will resolve as **Yes** if both of the following conditions are met:

1. The ID political group holds the most seats after the 2024 European Parliament elections. This will resolve as **Yes** if the ID political group holds the most seats. It will resolve as **No** for all other political groups. If two groups are tied for seats, this condition will resolve as **Yes**. This part of the question resolves on the basis of [official statements by the European Parliament](https://www.europarl.europa.eu/portal/en) or credible media reports.

2. Public opinion in the EU becomes more favorable to immigration by the end of 2024. This will resolve as **Yes** if surveys from at least three prominent polling organizations (e.g., Eurobarometer, Pew Research Center, Ipsos) indicate that public sentiment across at least 10 EU countries is more favorable towards immigration at the end of 2024 compared to the beginning of the year. The sentiment is measured by comparing approval ratings or positive opinion percentages about immigration, aggregated from the selected countries. This part of the question will resolve as **No** if these conditions are not met by December 31, 2024.

Both conditions must be satisfied for the overall question to resolve as **Yes**. If either condition is not met, the question will resolve as **No**.",0.5114531742503683,eval_file,94
gpt-4o-mini,"Will at least 5 countries win their first Olympic medal at the 2024 Games? This question resolves as **Yes** if 5 or more countries win their first-ever Olympic medal at the Paris Olympics, according to [credible sources](https://www.metaculus.com/help/faq/#definitions).","Given that at least 5 countries win their first Olympic medal at the 2024 Games, will France earn at least 70 Olympic medals at the 2024 Paris Games? Given that at least 5 countries win their first-ever Olympic medal at the Paris Olympics, according to credible sources, this question asks if France, the host of the 2024 Paris Olympic Games, will secure 70 or more total medals during the event. This includes gold, silver, and bronze medals won across all events. The tally will be confirmed through the official Olympic medal table published at the conclusion of the Games. Analyzing France's performance could reflect on the level of competitiveness and the investment in their sports programs as the host nation, which tends to have an impact on the overall dynamics of the Games. This question resolves as **Yes** if France earns at least 70 medals, and as **No** only if 5 or more countries win their first medal and France does not reach the 70-medal threshold.","Will both at least 5 countries win their first Olympic medal and France earn at least 70 Olympic medals at the 2024 Paris Games? This question resolves as **Yes** if both of the following conditions are met:  
(a) At least 5 countries win their first-ever Olympic medal at the Paris Olympics. This will be determined according to [credible sources](https://www.metaculus.com/help/faq/#definitions).  
(b) France, the host of the 2024 Paris Olympic Games, secures 70 or more total medals during the event. This includes gold, silver, and bronze medals won across all events. The tally will be confirmed through the official Olympic medal table published at the conclusion of the Games. Analyzing France's performance could reflect on the level of competitiveness and the investment in their sports programs as the host nation, which tends to have an impact on the overall dynamics of the Games.  

All context, resolution criteria, and verification details from both original questions are included to ensure comprehensive understanding and accurate forecasting.",0.5107035479249779,eval_file,51
gpt-4o-mini,"On July 17, 2024, will Nvidia's market capitalization be larger than Apple's? This question resolves Yes if, on July 17, 2024, the market cap of Nvidia is greater than that of Apple, according to Companies Market Cap, when checked by Metaculus at approximately 4 PM EDT (8 PM UTC).","Given that on July 17, 2024, Nvidia's market capitalization is larger than Apple's, will Nvidia announce a new strategic partnership with an AI research firm in 2024? Given that on July 17, 2024, the market cap of Nvidia is greater than that of Apple, according to Companies Market Cap, when checked by Metaculus at approximately 4 PM EDT (8 PM UTC), this question asks if Nvidia will publicly announce a new strategic partnership with a company or research institution focused primarily on artificial intelligence research or development in 2024. The criteria for ""strategic partnership"" include long-term collaboration agreements explicitly aimed at advancing AI technologies, as verified by press releases or official statements from Nvidia. The announcement should be publicly disseminated through reputable media outlets or Nvidia’s official channels.","Will both Nvidia's market capitalization exceed Apple's on July 17, 2024, and will Nvidia announce a new strategic partnership with an AI research firm in 2024? This question resolves to ""Yes"" only if both of the following conditions are met:

1. On July 17, 2024, the market capitalization of Nvidia is greater than that of Apple. This will be determined according to Companies Market Cap, when checked by Metaculus at approximately 4 PM EDT (8 PM UTC).

2. Nvidia publicly announces a new strategic partnership with a company or research institution focused primarily on artificial intelligence research or development in 2024. The criteria for ""strategic partnership"" include long-term collaboration agreements explicitly aimed at advancing AI technologies, as verified by press releases or official statements from Nvidia. The announcement should be publicly disseminated through reputable media outlets or Nvidia’s official channels.

Both conditions must be satisfied for the question to resolve to ""Yes."" If either condition is not met, the question will resolve to ""No.""",0.46854919176747456,eval_file,41
gpt-4o-mini,"Will Wesley So beat Hans Niemann in Speed Chess Championship? The match will be played on 7th of August, 18:00 GMT.

https://www.chess.com/events/2024-speed-chess-championship-main-event/games

If match is cancelled, it resolves N/A.","Given that Wesley So beats Hans Niemann in the Speed Chess Championship, will Hans Niemann advance to the semifinals of the 2024 Speed Chess Championship? Given that Wesley So beats Hans Niemann in the Speed Chess Championship, this question asks if Hans Niemann will advance to the semifinals of the 2024 Speed Chess Championship. The match between Wesley So and Hans Niemann is scheduled to be played on the 7th of August at 18:00 GMT. If the match is cancelled, it resolves as N/A. The resolution criterion for Hans Niemann advancing to the semifinals is straightforward: if Niemann is listed as a participant in the semifinals bracket, the answer is ""Yes."" If not, the answer is ""No."" This outcome is directly measurable by reviewing the official championship bracket upon the conclusion of the quarterfinals. This question provides insight into Niemann's performance throughout the tournament, which may be relevant for understanding his capabilities in discrete matches such as against Wesley So.","Will both Wesley So beat Hans Niemann in the Speed Chess Championship on August 7th, 2024, and Hans Niemann advance to the semifinals of the 2024 Speed Chess Championship? Body: This question requires both of the following to occur: (a) Wesley So must beat Hans Niemann in their Speed Chess Championship match scheduled for the 7th of August, 18:00 GMT. The match details can be found at https://www.chess.com/events/2024-speed-chess-championship-main-event/games. If the match is cancelled, this part resolves N/A. (b) Hans Niemann must secure a position in the semifinals of the 2024 Speed Chess Championship. This is determined by whether Niemann is listed as a participant in the semifinals bracket, which can be verified by reviewing the official championship bracket upon the conclusion of the quarterfinals. If both conditions are met, the answer is ""Yes."" If either condition is not met, the answer is ""No."" This question requires both of the following to occur: (a) Wesley So must beat Hans Niemann in their Speed Chess Championship match scheduled for the 7th of August, 18:00 GMT. The match details can be found at https://www.chess.com/events/2024-speed-chess-championship-main-event/games. If the match is cancelled, this part resolves N/A. (b) Hans Niemann must secure a position in the semifinals of the 2024 Speed Chess Championship. This is determined by whether Niemann is listed as a participant in the semifinals bracket, which can be verified by reviewing the official championship bracket upon the conclusion of the quarterfinals. If both conditions are met, the answer is ""Yes."" If either condition is not met, the answer is ""No.""",0.4412744000054794,eval_file,8
gpt-4o-mini,"Will the American League Team win the MLB All Star Game? Resolves YES if the American Team wins the MLB All Star Game. I will not bet on this market.

Edit (about 3 minutes after question creation): I changed the title from ""Will the American League Team with the MLB All Star Game."" It was just a typo.

Edit (7:53 ET July 16): Extended close time","Given that the American League Team wins the MLB All Star Game, will an American League team win the 2024 World Series? Given that the American Team wins the MLB All Star Game, this question asks if any team from the American League will win the World Series in the 2024 Major League Baseball season. A resolution to ""YES"" will occur if an American League team emerges as the champion of the World Series, which is played annually between the champions of the American League and the National League. This question provides context on the perceived strength and competitiveness of the leagues over the course of the entire baseball season, beyond the results of the All-Star Game. Resolves YES if the American Team wins the MLB All Star Game. I will not bet on this market.","Will both the American League Team win the MLB All Star Game and an American League team win the 2024 World Series? Resolves YES if both of the following conditions are met: (1) The American League Team wins the MLB All Star Game. (2) Any team from the American League wins the World Series in the 2024 Major League Baseball season. A resolution to ""YES"" for the second condition will occur if an American League team emerges as the champion of the World Series, which is played annually between the champions of the American League and the National League. This question provides context on the perceived strength and competitiveness of the leagues over the course of the entire baseball season, beyond the results of the All-Star Game. I will not bet on this market.",0.4265714221516517,eval_file,82
llama_70b,"Stranded astronauts depart on Boeing Starliner by July 21? Clone of (and resolves identically to) https://polymarket.com/event/stranded-astronauts-depart-on-boeing-starliner-by-july-21?tid=1719805056151

The Boeing Starliner spacecraft, which arrived at the ISS on June 6, 2024, with NASA astronauts Suni Williams and Butch Wilmore, must depart within 45 days due to the Harmony module's limited fuel.

This market will resolve to ""Yes"" if the Boeing Starliner spacecraft departs the International Space Station (ISS) with NASA astronauts Suni Williams and Butch Wilmore by 11:59 PM ET on July 21, 2024. 

The Starliner will be considered to have departed if it has undocked from the ISS and begun its return journey to Earth.

The resolution source will be official announcements from NASA and/or Boeing, however a consensus of credible reporting may also be used.","Given that stranded astronauts depart on Boeing Starliner by July 21, will the Boeing Starliner encounter any technical delays during its docking at the ISS in 2024? Given that the Boeing Starliner spacecraft departs the International Space Station (ISS) with NASA astronauts Suni Williams and Butch Wilmore by 11:59 PM ET on July 21, 2024, this question asks if the Boeing Starliner will encounter any technical delays during its docking at the ISS in 2024. The Boeing Starliner spacecraft, which arrived at the ISS on June 6, 2024, must depart within 45 days due to the Harmony module's limited fuel. The Starliner will be considered to have departed if it has undocked from the ISS and begun its return journey to Earth. The resolution source for the departure will be official announcements from NASA and/or Boeing, however, a consensus of credible reporting may also be used.

This question further asks whether the Boeing Starliner spacecraft will experience any technical delays that prevent it from docking with the International Space Station (ISS) on its scheduled arrival date in 2024. A ""technical delay"" is defined as any unforeseen issue related to the spacecraft's systems or technologies that causes its docking to be postponed by at least 24 hours beyond its planned schedule. The resolution will be based on official reports from NASA or Boeing, although credible media reporting can also be considered.","Will both the Boeing Starliner depart the ISS by July 21, 2024, and encounter no technical delays during its docking in 2024? This question combines two separate inquiries regarding the Boeing Starliner spacecraft's mission in 2024. 

1. The first part of the question asks whether the Boeing Starliner spacecraft, which arrived at the International Space Station (ISS) on June 6, 2024, with NASA astronauts Suni Williams and Butch Wilmore, will depart the ISS by 11:59 PM ET on July 21, 2024. The Starliner must depart within 45 days due to the Harmony module's limited fuel. The spacecraft will be considered to have departed if it has undocked from the ISS and begun its return journey to Earth. The resolution source will be official announcements from NASA and/or Boeing, however, a consensus of credible reporting may also be used.

2. The second part of the question asks whether the Boeing Starliner spacecraft will encounter any technical delays during its docking at the ISS in 2024. A ""technical delay"" is defined as any unforeseen issue related to the spacecraft's systems or technologies that causes its docking to be postponed by at least 24 hours beyond its planned schedule. The resolution will be based on official reports from NASA or Boeing, although credible media reporting can also be considered.

For this combined question to resolve to ""Yes,"" both of the following must occur: (a) The Boeing Starliner must depart the ISS with NASA astronauts Suni Williams and Butch Wilmore by the specified deadline of July 21, 2024, and (b) the spacecraft must not experience any technical delays that prevent it from docking with the ISS on its scheduled arrival date in 2024.",1.4738515577010394,eval_file,96
llama_70b,"Will OpenAI publicly commit to the ""no retaliation for public risk disclosure"" principle before July 1, 2024? This question resolves as **Yes** if, before July 1, 2024, both of the following are true:

- OpenAI publicly commits to the ""no retaliation for public risk disclosure"" principle via a statement from the company or a company spokesperson, such as Sam Altman. The statement may be formal (such as a press release) or informal (such as a tweet or quote in an interview). The statement from OpenAI must indicate a new level of commitment to the principle in question, relative to the time the righttowarn.ai statement was published; it cannot be a reiteration that, for example, ""we already have a culture of open criticism"". 
- Metaculus verifies that the company has accepted the principle to the satisfaction of at least one member of righttowarn.ai. Metaculus may reach out to select signatories or endorsers to assess their level of satisfaction with OpenAI's commitment. Statements must be at least as rigorous as ""this was a good first step"" for this question to resolve as **Yes**.","Given that OpenAI publicly commits to the ""no retaliation for public risk disclosure"" principle before July 1, 2024, will Microsoft adopt a formal ""no retaliation for public risk disclosure"" policy by the end of 2024? Given that before July 1, 2024, both of the following are true: (1) OpenAI publicly commits to the ""no retaliation for public risk disclosure"" principle via a statement from the company or a company spokesperson, such as Sam Altman. The statement may be formal (such as a press release) or informal (such as a tweet or quote in an interview). The statement from OpenAI must indicate a new level of commitment to the principle in question, relative to the time the righttowarn.ai statement was published; it cannot be a reiteration that, for example, ""we already have a culture of open criticism"". (2) Metaculus verifies that the company has accepted the principle to the satisfaction of at least one member of righttowarn.ai. Metaculus may reach out to select signatories or endorsers to assess their level of satisfaction with OpenAI's commitment. Statements must be at least as rigorous as ""this was a good first step"" for this question to resolve as **Yes**. This question asks if, by December 31, 2024, Microsoft publicly commits to a policy that ensures no retaliation against employees, partners, or third parties for disclosing legitimate concerns related to AI risk or ethical considerations. The commitment must be documented through an official statement from Microsoft or a senior executive, indicating a substantive change or initiation of such a policy, thereby enhancing transparency and accountability in its AI research and operations. Verification will involve validating the statement's authenticity and ensuring it is recognized by a credible third party focused on AI ethics or industry standards.","Will both OpenAI and Microsoft commit to ""no retaliation for public risk disclosure"" principles by their respective deadlines? This question resolves as **Yes** if both of the following conditions are met:

1. **OpenAI Commitment**: Before July 1, 2024, OpenAI must publicly commit to the ""no retaliation for public risk disclosure"" principle. This commitment must be made via a statement from the company or a company spokesperson, such as Sam Altman. The statement can be formal (such as a press release) or informal (such as a tweet or quote in an interview). It must indicate a new level of commitment to the principle, relative to the time the righttowarn.ai statement was published; it cannot be a reiteration of existing policies. Additionally, Metaculus must verify that the company has accepted the principle to the satisfaction of at least one member of righttowarn.ai. Metaculus may reach out to select signatories or endorsers to assess their level of satisfaction with OpenAI's commitment. Statements must be at least as rigorous as ""this was a good first step"" for this condition to resolve as **Yes**.

2. **Microsoft Policy Adoption**: By December 31, 2024, Microsoft must publicly commit to a formal ""no retaliation for public risk disclosure"" policy. This policy must ensure no retaliation against employees, partners, or third parties for disclosing legitimate concerns related to AI risk or ethical considerations. The commitment must be documented through an official statement from Microsoft or a senior executive, indicating a substantive change or initiation of such a policy, thereby enhancing transparency and accountability in its AI research and operations. Verification will involve validating the statement's authenticity and ensuring it is recognized by a credible third party focused on AI ethics or industry standards.

Both conditions must be satisfied for this question to resolve as **Yes**.",0.4027075356621921,eval_file,51
