model_name,log_path
openai/gpt-4o_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-06+00-00_legalbench-initial-aggregated_LiJsEHtVCeMYSiSdg2kJNi.eval
openai/gpt-4o-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval
openai/o3-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-59+00-00_legalbench-initial-aggregated_Vj4U2kh7e2669kjNW9dDvk.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-36-13+00-00_legalbench-initial-aggregated_UrWKpA5kgVpf2pY6oAxXPS.eval
anthropic/claude-3-5-sonnet-latest_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-36-28+00-00_legalbench-initial-aggregated_KdGBVVfGtWQALLfGGvKKqM.eval
openai/gpt-4o_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-56-51+00-00_legalbench-initial-aggregated_gxkMkTTFdjppNUAjZAoCJj.eval
openai/gpt-4o-mini_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval
openai/o3-mini_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-33+00-00_legalbench-initial-aggregated_ifdAtKTELKcvCDvu4EpNQn.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-58-20+00-00_legalbench-initial-aggregated_4NYfBxW6Mjw3aK7KAaUFzB.eval
anthropic/claude-3-5-sonnet-latest_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-59-14+00-00_legalbench-initial-aggregated_QvuNpufhsd5Vqje9FgyB8L.eval
