check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
not,Will the European Union implement a digital tax on tech giants by 2028?,0.65,Will the European Union not implement a digital tax on tech giants by 2028?,0.25,,,0.1549895147545551
not,Will Amazon achieve carbon neutrality across its global operations by 2040?,0.75,Will Amazon not achieve carbon neutrality across its global operations by 2040?,0.35,,,0.15498951475455527
not,Will China launch a crewed mission to the Moon by 2035?,0.75,Will China not launch a crewed mission to the Moon by 2035?,0.25,,,0.0
not,Will Germany implement a nationwide basic income pilot program by 2027?,0.25,Will Germany not implement a nationwide basic income pilot program by 2027?,0.75,,,0.0
not,Will Facebook rebrand to Meta Platforms and shift focus entirely to the metaverse by 2025?,0.85,Will Facebook not rebrand to Meta Platforms and shift focus entirely to the metaverse by 2025?,0.01,,,0.37667310810109095
not,Will the United States legalize recreational marijuana nationwide by 2028?,0.45,Will the United States not legalize recreational marijuana nationwide by 2028?,0.65,,,0.14488502872732612
not,Will Apple release a mixed reality headset to the consumer market by mid-2025?,0.85,Will Apple not release a mixed reality headset to the consumer market by mid-2025?,0.15,,,0.0
not,Will the International Space Station be decommissioned by 2030?,0.35,Will the International Space Station not be decommissioned by 2030?,0.75,,,0.15498951475455527
not,Will Electric Vehicles account for 50% of global car sales by 2035?,0.65,Will Electric Vehicles not account for 50% of global car sales by 2035?,0.35,,,0.0
not,Will Spain win the UEFA European Championship in 2028?,0.15,Will Spain not win the UEFA European Championship in 2028?,0.75,,,0.17785726558372916
not,Will the European Space Agency establish a permanent lunar base by 2040?,0.35,Will the European Space Agency not establish a permanent lunar base by 2040?,0.75,,,0.15498951475455527
not,Will Quantum Computing achieve commercial viability by 2030?,0.4,Will Quantum Computing not achieve commercial viability by 2030?,0.6,,,0.0
not,Will the United Nations Security Council expand to include at least five new permanent members by 2030?,0.15,Will the United Nations Security Council not expand to include at least five new permanent members by 2030?,0.85,,,0.0
not,Will Virtual Reality headsets achieve mainstream adoption in the consumer market by 2027?,0.35,Will Virtual Reality headsets not achieve mainstream adoption in the consumer market by 2027?,0.75,,,0.15498951475455527
not,Will the African Union establish a unified currency by 2040?,0.15,Will the African Union not establish a unified currency by 2040?,0.85,,,0.0
not,Will Hydrogen-powered commercial aircraft be in regular service by 2035?,0.35,Will Hydrogen-powered commercial aircraft not be in regular service by 2035?,0.75,,,0.15498951475455527
not,Will South America achieve net-zero carbon emissions by 2050?,0.35,Will South America not achieve net-zero carbon emissions by 2050?,0.65,,,0.0
not,Will Netflix's global subscriber base exceed 300 million by 2027?,0.65,Will Netflix's global subscriber base not exceed 300 million by 2027?,0.55,,,0.28977005745465223
not,Will India implement a nationwide electric vehicle infrastructure by 2030?,0.65,Will India not implement a nationwide electric vehicle infrastructure by 2030?,0.65,,,0.4440912253619913
not,Will Artificial General Intelligence (AGI) be achieved by 2045?,0.35,Will Artificial General Intelligence (AGI) not be achieved by 2045?,0.65,,,0.0
not,Will Brazil host the next FIFA World Cup in 2030?,0.05,Will Brazil not host the next FIFA World Cup in 2030?,0.95,,,0.0
not,Will the World Health Organization declare COVID-19 eradicated by 2030?,0.05,Will the World Health Organization not declare COVID-19 eradicated by 2030?,0.95,,,0.0
not,Will the first human colony be established on Mars by 2050?,0.35,Will the first human colony not be established on Mars by 2050?,0.75,,,0.15498951475455527
not,Will the global population exceed 9 billion by 2040?,0.85,Will the global population not exceed 9 billion by 2040?,0.1,,,0.10698186029693037
not,Will the European Union ban all internal combustion engine (ICE) vehicles by 2035?,0.75,Will the European Union not ban all internal combustion engine (ICE) vehicles by 2035?,0.25,,,0.0
not,Will Renewable Energy sources supply over 70% of Germany's electricity by 2040?,0.75,Will Renewable Energy sources not supply over 70% of Germany's electricity by 2040?,0.35,,,0.15498951475455527
not,Will Tesla's Starship successfully launch a crewed mission to Mars by 2040?,0.45,Will Tesla's Starship not successfully launch a crewed mission to Mars by 2040?,0.65,,,0.14488502872732612
not,Will the United States legalize same-sex marriage nationwide by 2025?,0.99,Will the United States not legalize same-sex marriage nationwide by 2025?,0.95,,,3.9071759569568383
not,Will CRISPR gene editing be approved for human germline modification by 2030?,0.25,Will CRISPR gene editing not be approved for human germline modification by 2030?,0.75,,,0.0
not,Will Blockchain technology be widely adopted in the global financial system by 2035?,0.75,Will Blockchain technology not be widely adopted in the global financial system by 2035?,0.25,,,0.0
not,Will the Paris Agreement's goal to limit global warming to below 2°C be achieved by 2100?,0.35,Will the Paris Agreement's goal to limit global warming to below 2°C not be achieved by 2100?,0.75,,,0.15498951475455527
