target_model_name,P,Q
o1-mini,"Will IBM's quantum computing revenue increase by more than 25% in 2025?

This question resolves as YES if IBM's quantum computing revenue increases by more than 25% in 2025, as reported by IBM's official financial reports or reputable tech news sources such as CNBC or Bloomberg.","Will the company's investment in AGI research increase by at least 20% in the next 2 years?

This question resolves as YES if IBM's investment in AGI research increases by at least 20% in the next 2 years (2026 and 2027 combined), as reported by IBM's official financial reports or reputable tech news sources."
o1-mini,"Will the number of genetic engineering startups focused on treating complex diseases increase by more than 30% in 2029 compared to 2028?

This question resolves as YES if the number of genetic engineering startups focused on treating complex diseases increases by more than 30% in 2029 compared to 2028, as reported by reputable sources such as venture capital firms, startup accelerators, or industry reports.","Will the development of new medical treatments for rare genetic disorders accelerate by at least 20% in the next 5 years?

This question resolves as YES if the development of new medical treatments for rare genetic disorders accelerates by at least 20% in the next 5 years. Acceleration is measured by a combined count of (1) new drug approvals by major regulatory bodies (e.g., FDA, EMA) specifically for rare genetic disorders and (2) the number of new clinical trials (Phase 2 or later) initiated for treatments targeting rare genetic disorders, as reported by credible sources such as academic journals, research institutions, or pharmaceutical companies."
o1-mini,"Will the price of solar energy decrease by more than 15% in 2030 compared to 2029?

This question resolves as YES if the price of solar energy decreases by more than 15% in 2030 compared to 2029, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the adoption of solar energy increase by at least 20% in the next 2 years?

This question resolves as YES if the adoption of solar energy, measured in total installed capacity (Gigawatts), increases by at least 20% over the next 2 years (2031 and 2032 combined) as reported by credible sources such as academic journals, research institutions, or industry reports."
o1-mini,"Will Qualcomm's revenue from 5G-related products increase by more than 25% in 2028?

This question resolves as YES if Qualcomm's revenue from 5G-related products increases by more than 25% in 2028, as reported by Qualcomm's official financial reports or reputable tech news sources.","Will the company's investment in IoT research and development increase by at least 20% in the next 2 years?

This question resolves as YES if Qualcomm's investment in IoT research and development increases by at least 20% in the next 2 years (2029 and 2030 combined) as reported by Qualcomm's official financial reports or reputable tech news sources."
o1-mini,"Will the US unemployment rate drop below 4% by the end of 2025?

This question resolves as YES if the US unemployment rate drops below 4% by December 31, 2025, as reported by the Bureau of Labor Statistics (BLS) in their December 2025 employment situation report.","Will Microsoft's stock price increase by more than 20% in 2025?

This question resolves as YES if Microsoft's stock price increases by more than 20% in 2025, as measured by the closing price on December 31, 2025, compared to the closing price on December 31, 2024, according to data from Yahoo Finance or another reputable financial data source."
o1-mini,"Will the US and China resolve their trade disputes by 2025?

Resolution date: December 31, 2025; Resolution criteria: Official announcements from the US and China; Resolution source: Reuters","Will the US experience a reduction in its trade deficit with China?

Resolution date: December 31, 2025; Resolution criteria: Trade deficit data comparing the US trade deficit with China in 2024 vs 2025; Resolution source: US Census Bureau"
o1-mini,"Will the number of research papers on quantum computing and AGI published in top-tier conferences increase by more than 40% in 2028?

This question resolves as YES if the number of research papers on quantum computing and AGI published in top-tier conferences (defined as NeurIPS, ICML, ICLR, AAAI, IJCAI, and QIP) increases by more than 40% in 2028, as reported by conference proceedings and reputable academic databases like Scopus or Web of Science.","Will the development of practical applications of AGI in industries such as finance and healthcare accelerate by at least 20% in the next 3 years?

This question resolves as YES if the development of practical applications of AGI (defined as systems demonstrating significant progress towards general-purpose intelligence as evaluated by industry-standard benchmarks, if such benchmarks exist, or by expert consensus otherwise) in industries such as finance and healthcare accelerates by at least 20% in the next 3 years (2029, 2030, and 2031 combined). Acceleration is measured by the combined number of (1) documented deployments of AGI systems in real-world commercial applications, (2) successful case studies demonstrating significant improvements in key performance indicators (KPIs) attributed to AGI, and (3) investments in AGI startups/projects specifically targeting finance and healthcare applications, as reported by credible sources such as industry reports, research institutions, or tech companies."
o1-mini,"Will Tesla's market share in the electric vehicle market increase by more than 15% in 2025?

This question resolves as YES if Tesla's market share in the electric vehicle market increases by more than 15% in 2025, as reported by Tesla's official sales reports or reputable industry sources.","Will the company's investment in autonomous driving technology increase by at least 20% in the next 2 years?

This question resolves as YES if Tesla's investment in autonomous driving technology increases by at least 20% in the next 2 years, as reported by Tesla's official financial reports or reputable tech news sources."
o1-mini,"Will the global investment in renewable energy increase by more than 20% in 2030 compared to 2029?

This question resolves as YES if the global investment in renewable energy increases by more than 20% in 2030 compared to 2029, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the carbon emissions from the energy sector decrease by more than 15% in the next 5 years?

This question resolves as YES if, the carbon emissions from the energy sector decrease by more than 15% in the next 5 years (2031-2035), as reported by credible sources such as academic journals, research institutions, or government agencies. Carbon emissions will be measured in gigatonnes of CO2 equivalent."
o1-mini,"Will the investment in blockchain research increase by more than 45% in 2032 compared to 2031?

This question resolves as YES if the investment in blockchain research increases by more than 45% in 2032 compared to 2031, as reported by the National Science Foundation (NSF) or other credible sources.","Will the development of decentralized exchange (DEX) protocols accelerate by at least 32% in the next 7 years?

This question resolves as YES if the development of decentralized exchange (DEX) protocols accelerates by at least 32% in the next 7 years (2033-2039). Acceleration is defined as a combined increase of 32% of (1) Total Value Locked (TVL) across all major DEX platforms, (2) the number of unique active users (wallets) interacting with DEX protocols and (3) the number of new DEX protocols launched with significant traction (defined as achieving at least $1 million in TVL within 6 months of launch) , as reported by credible sources such as academic journals, research institutions, or cryptocurrency exchanges."
o1-mini,"Will the cost of electric vehicle batteries decrease by more than 18% in 2029 compared to 2028?

This question resolves as YES if the cost of electric vehicle batteries decreases by more than 18% in 2029 compared to 2028, as reported by reputable sources such as the National Renewable Energy Laboratory (NREL) or industry reports. Cost is measured in $/kWh.","Will the development of autonomous driving technology for commercial vehicles accelerate by at least 22% in the next 7 years?

This question resolves as YES if the development of autonomous driving technology for commercial vehicles accelerates by at least 22% in the next 7 years (2030-2036). Acceleration is measured by a combined increase of (1) the number of autonomous commercial vehicles (trucks, delivery vans, etc.) deployed in real-world operations, (2) the total miles driven autonomously by commercial vehicles, and (3) the number of companies with commercially available Level 4 or 5 autonomous driving systems for commercial vehicles as reported by credible sources such as academic journals, research institutions, or tech companies."
o1-mini,"Will the number of blockchain-based financial transactions increase by more than 70% in 2029 compared to 2028?

This question resolves as YES if the number of blockchain-based financial transactions increases by more than 70% in 2029 compared to 2028, as reported by the Financial Action Task Force (FATF) or other credible sources.","Will the development of DeFi platforms for lending increase by more than 50% in the next 5 years?

This question resolves as YES the development of DeFi platforms for lending increases by more than 50% in the next 5 years (2030 - 2034). This will be measured by a combined increase of (1) Total Value Locked (TVL) in lending DeFi protocols, (2) number of active users on lending platforms, and (3) Number of loans originated in DeFi protocols as reported by credible sources such as academic journals, research institutions, or DeFi companies."
o1-mini,"Will the number of electric vehicles sold worldwide increase by more than 40% in 2025?

This question resolves as YES if the number of electric vehicles sold worldwide increases by more than 40% in 2025, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the development of autonomous driving technology for passenger vehicles accelerate by at least 10% in the next 5 years?

This question resolves as YES if the development of autonomous driving technology for passenger vehicles accelerates by at least 10% in the next 5 years, as reported by credible sources such as academic journals, research institutions, or tech companies, and measured by the number of research papers, patents, or breakthroughs in autonomous driving technology."
o1-mini,"Will the number of robotics patents filed by Boston Dynamics increase by more than 80% in 2033 compared to 2032?

This question resolves as YES if the number of robotics patents filed by Boston Dynamics increases by more than 80% in 2033 compared to 2032, as reported by the United States Patent and Trademark Office (USPTO) or other credible sources.","Will the development of autonomous robots for search and rescue operations accelerate by at least 60% in the next 9 years?

This question resolves as YES if the development of autonomous robots for search and rescue operations accelerates by at least 60% in the next 9 years (2034-2042). Acceleration is measured by a combined increase of (1) the number of deployments of autonomous robots in real-world search and rescue missions, (2) the success rate of autonomous robots in locating and/or assisting victims in search and rescue scenarios (measured as a percentage increase compared to a baseline established by averaging the success rates of the three years prior to 2034), and (3) documented improvements in key performance indicators (KPIs) such as search time, area covered, and victim survival rates attributed to the use of autonomous robots, as reported by credible sources such as academic journals, research institutions, or robotics companies."
