check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
expevidence,Will the Netflix series 'Blade Runner 2099' premiere in 2027?,0.01,Will 'Blade Runner 2099' receive a Primetime Emmy for Outstanding Drama Series in its debut year?,0.25,"Given that the Netflix series 'Blade Runner 2099' premieres in 2027, will it receive a Primetime Emmy for Outstanding Drama Series in its debut year?",0.25,1.4702887288566002
expevidence,Will the United Nations declare 2025 as the International Year of Robotics?,0.15,Will the International Robotics Exhibition expand to include 50 new member countries in 2025?,0.15,"Given that the International Robotics Exhibition expands to include 50 new member countries in 2025, will the United Nations declare 2025 as the International Year of Robotics?",0.35,0.3663793369346265
expevidence,Will India surpass 1.5 million electric vehicles on the road by 2030?,0.75,Will India introduce nationwide subsidies for electric vehicle purchases by 2027?,0.75,"Given that India introduces nationwide subsidies for electric vehicle purchases by 2027, will India surpass 1.5 million electric vehicles on the road by 2030?",0.85,0.09416588277165176
expevidence,Will the Broadway musical 'Hamilton 2.0' open on Broadway by 2025?,0.05,Will 'Hamilton 2.0' receive a Tony Award for Best Musical in its opening season?,0.35,"Given that the Broadway musical 'Hamilton 2.0' opens on Broadway by 2025, will it receive a Tony Award for Best Musical in its opening season?",0.35,1.2780609050676375
expevidence,Will renewable energy sources account for 50% of Germany's energy mix by 2040?,0.85,Will Germany phase out coal power plants entirely by 2040?,0.75,"Given that Germany phases out coal power plants entirely by 2040, will renewable energy sources account for 50% of Germany's energy mix by 2040?",0.85,0.054065903249487964
expevidence,Will the Marvel Cinematic Universe release at least 10 new films by 2030?,0.95,Will at least three characters introduced in these new Marvel films become central to the MCU's main storyline by 2030?,0.85,"Given that the Marvel Cinematic Universe releases at least 10 new films by 2030, will at least three characters introduced in these new films become central to the MCU's main storyline by 2030?",0.75,0.42654308020299014
expevidence,Will Australia host the FIFA Women's World Cup in 2031?,0.35,Will Australia’s national women's soccer team win the 2031 FIFA Women's World Cup?,0.15,"Given that Australia hosts the FIFA Women's World Cup in 2031, will Australia’s national women's soccer team win the 2031 FIFA Women's World Cup?",0.25,0.513829978378263
expevidence,Will NASA launch the Artemis VII mission to the Moon by 2028?,0.55,Will Artemis VII establish a sustainable human presence on the Moon by its mission completion?,0.35,"Given that NASA launches the Artemis VII mission to the Moon by 2028, will it establish a sustainable human presence on the Moon by its mission completion?",0.25,0.06293265114709239
expevidence,Will Microsoft acquire a major gaming studio by 2025?,0.65,Will the acquisition result in exclusive Xbox titles within three years post-acquisition?,0.85,"Given that Microsoft acquires a major gaming studio by 2025, will the acquisition result in exclusive Xbox titles within three years post-acquisition?",0.85,0.1806589270738865
expevidence,Will the European Space Agency launch a mission to Europa by 2035?,0.25,Will the ESA's Europa mission discover signs of microbial life by 2040?,0.15,"Given that the European Space Agency launches a mission to Europa by 2035, will the mission discover signs of microbial life by 2040?",0.15,0.8415708527287464
expevidence,Will the Global Health Organization eradicate malaria by 2050?,0.35,Will the eradication of malaria lead to a 20% increase in global GDP by 2060?,0.15,"Given that the Global Health Organization eradicates malaria by 2050, will the eradication lead to a 20% increase in global GDP by 2060?",0.85,0.6840026970947737
expevidence,Will the next James Bond film gross over $1 billion globally?,0.45,Will the $1 billion gross mark the highest-grossing James Bond film to date?,0.45,"Given that the next James Bond film grosses over $1 billion globally, will it mark the highest-grossing James Bond film to date?",0.75,0.12730729596268484
expevidence,Will South Korea win the FIFA Men's World Cup in 2030?,0.05,Will the 2030 FIFA World Cup be the first to be hosted in Asia?,0.0,"Given that the 2030 FIFA World Cup is the first to be hosted in Asia, will South Korea win the FIFA Men's World Cup in 2030? Body: Given that the 2030 FIFA Men's World Cup is the inaugural tournament hosted on the Asian continent, this question asks if the South Korean national football team will win the FIFA Men's World Cup in the 2030 tournament. Resolution date: End of the 2030 FIFA World Cup, source: FIFA official results. This resolves as NO only if the World Cup is hosted in Asia and South Korea does not win; it resolves as YES in all other cases.",0.95,0.11496024978590212
expevidence,Will Google achieve quantum supremacy in computing by 2035?,0.75,Will quantum computing by Google lead to a 50% reduction in data processing times for AI models by 2040?,0.35,"Given that Google achieves quantum supremacy in computing by 2035, will quantum computing by Google lead to a 50% reduction in data processing times for AI models by 2040?",0.35,0.35526808841886814
expevidence,Will the Amazon rainforest see a complete halt in deforestation by 2045?,0.15,Will the halt in Amazon deforestation contribute to a 10% increase in global biodiversity by 2050?,0.15,"Given that the Amazon rainforest sees a complete halt in deforestation by 2045, will the halt contribute to a 10% increase in global biodiversity by 2050?",0.25,0.7808891002701632
expevidence,Will the United States host the Summer Olympics in 2032?,0.0,Will the 2032 Summer Olympics set a new record for the number of participating nations?,0.75,"Given that the United States hosts the Summer Olympics in 2032, will the 2032 Summer Olympics set a new record for the number of participating nations?",0.65,1.8898254884587524
expevidence,Will Elon Musk's Neuralink release a consumer-ready brain-computer interface by 2028?,0.35,Will the release of Neuralink's brain-computer interface lead to FDA approval for widespread medical use by 2030?,0.45,"Given that Elon Musk's Neuralink releases a consumer-ready brain-computer interface by 2028, will it lead to FDA approval for widespread medical use by 2030?",0.35,0.2728624235102383
expevidence,Will the Paris Agreement achieve a 40% reduction in global carbon emissions by 2035?,0.25,Will achieving the Paris Agreement targets by 2035 lead to a 2°C limit on global temperature rise?,0.65,"Given that the Paris Agreement achieves a 40% reduction in global carbon emissions by 2035, will this lead to a 2°C limit on global temperature rise?",0.65,0.44330437495090474
expevidence,Will the next 'Star Wars' film be directed by a female director by 2030?,0.65,Will the female-directed 'Star Wars' film become the highest-grossing in the franchise by 2030?,0.25,"Given that the next 'Star Wars' film is directed by a female director by 2030, will it become the highest-grossing in the franchise by 2030?",0.15,0.07814050182030481
expevidence,Will Japan achieve a 100% renewable energy grid by 2050?,0.35,Will Japan reduce its carbon emissions by 70% as a result of achieving a 100% renewable energy grid by 2050?,0.65,"Given that Japan achieves a 100% renewable energy grid by 2050, will it reduce its carbon emissions by 70%?",0.85,0.3340289929389264
expevidence,Will SpaceX's Starship complete a manned mission to Mars by 2032?,0.35,Will the manned Starship mission to Mars establish the first human settlement site?,0.35,"Given that SpaceX's Starship completes a manned mission to Mars by 2032, will it establish the first human settlement site on Mars?",0.65,0.6279468248532806
expevidence,Will the FDA approve a universal flu vaccine by 2027?,0.35,Will the approval of a universal flu vaccine lead to a 90% decrease in influenza-related deaths by 2030?,0.15,"Given that the FDA approves a universal flu vaccine by 2027, will it lead to a 90% decrease in influenza-related deaths by 2030?",0.15,0.6358058803330423
expevidence,Will the first commercial fusion reactor become operational by 2040?,0.25,Will the operational commercial fusion reactor supply 5% of global energy needs by 2050?,0.15,"Given that the first commercial fusion reactor becomes operational by 2040, will it supply 5% of global energy needs by 2050?",0.25,0.7082718540698114
expevidence,Will the International Criminal Court convict a sitting head of state by 2030?,0.15,Will a conviction by the ICC against a head of state lead to regime change in that country by 2032?,0.45,"Given that the International Criminal Court convicts a sitting head of state by 2030, will this lead to regime change in that country by 2032?",0.65,1.2916382298534372
expevidence,Will the next FIFA Ballon d'Or winner also win the Golden Boot in 2030?,0.15,Will the dual winners (Ballon d'Or and Golden Boot) in 2030 set a new record for most awards won by a single player in a calendar year?,0.15,"Given that the next FIFA Ballon d'Or winner also wins the Golden Boot in 2030, will this set a new record for most awards won by a single player in a calendar year?",0.15,0.9119692523232024
expevidence,Will the Large Hadron Collider discover a new fundamental particle by 2029?,0.25,Will the discovery of a new fundamental particle lead to a Nobel Prize in Physics for 2030?,0.65,"Given that the Large Hadron Collider discovers a new fundamental particle by 2029, will the discovery lead to a Nobel Prize in Physics for 2030?",0.75,0.551273231589971
expevidence,Will the United Kingdom implement a four-day workweek nationwide by 2035?,0.35,Will the implementation of a four-day workweek in the UK lead to a 15% increase in national productivity by 2040?,0.25,"Given that the United Kingdom implements a four-day workweek nationwide by 2035, will this lead to a 15% increase in national productivity by 2040?",0.35,0.48782906212346133
expevidence,Will the first commercial space hotel open by 2035?,0.45,Will the opening of the first space hotel generate over $1 billion in revenue by 2040?,0.65,"Given that the first commercial space hotel opens by 2035, will it generate over $1 billion in revenue by 2040?",0.55,0.21807904419628513
expevidence,Will renewable hydrogen surpass natural gas as the primary industrial energy source in Europe by 2045?,0.35,Will the transition to renewable hydrogen in Europe reduce industrial carbon emissions by 60% by 2045?,0.55,"Given that the transition to renewable hydrogen in Europe reduces industrial carbon emissions by 60% by 2045, will renewable hydrogen surpass natural gas as the primary industrial energy source in Europe by 2045?",0.65,0.1208714824203439
expevidence,Will the World Bank increase funding for climate adaptation projects by 50% by 2030?,0.65,Will increased World Bank funding result in a 30% improvement in climate resilience in developing nations by 2035?,0.45,"Given that the World Bank increases funding for climate adaptation projects by 50% by 2030, will this result in a 30% improvement in climate resilience in developing nations by 2035?",0.45,0.1505577833685711
expevidence,Will the next iPhone model include a built-in holographic display by 2026?,0.15,Will the introduction of a holographic display in the iPhone lead to a 25% increase in sales in the first quarter post-launch?,0.35,"Given that the next iPhone model includes a built-in holographic display by 2026, will the introduction of this feature lead to a 25% increase in sales in the first quarter post-launch?",0.65,0.9950618207579144
expevidence,Will the Great Barrier Reef fully recover from coral bleaching events by 2100?,0.25,Will the full recovery of the Great Barrier Reef lead to a 50% increase in local tourism revenue by 2100?,0.65,"Given that the Great Barrier Reef fully recovers from coral bleaching events by 2100, will there be a 50% increase in local tourism revenue by 2100?",0.65,0.545451227678656
expevidence,Will the next Tesla model incorporate solid-state batteries by 2026?,0.25,Will the incorporation of solid-state batteries in Tesla vehicles extend their range by at least 20% compared to current models by 2026?,0.25,"Given that the next Tesla model incorporates solid-state batteries by 2026, will this extend their range by at least 20% compared to current models by 2026?",0.65,0.17195754032747698
expevidence,Will the United States achieve net-zero greenhouse gas emissions by 2050?,0.65,Will achieving net-zero emissions in the US result in a 25% reduction in air pollution-related health issues by 2060?,0.65,"Given that the United States achieves net-zero greenhouse gas emissions by 2050, will there be a 25% reduction in air pollution-related health issues by 2060?",0.75,0.11182614689168018
expevidence,Will the first human mission to Saturn's moon Titan occur by 2045?,0.05,Will the Titan mission discover prebiotic chemical processes by 2050?,0.65,"Given that the first human mission to Saturn's moon Titan occurs by 2045, will the Titan mission discover prebiotic chemical processes by 2050?",0.85,1.9556397363792306
expevidence,Will digital currencies replace cash transactions in the Eurozone by 2040?,0.35,Will the replacement of cash with digital currencies in the Eurozone reduce tax evasion by 40% by 2040?,0.35,"Given that digital currencies replace cash transactions in the Eurozone by 2040, will the replacement reduce tax evasion by 40% by 2040?",0.65,0.5053001119411815
expevidence,Will the International Renewable Energy Agency (IRENA) declare solar energy the world's largest renewable energy source by 2030?,0.75,Will solar energy becoming the largest renewable source lead to a 35% decrease in global reliance on fossil fuels by 2040?,0.35,"Given that the International Renewable Energy Agency (IRENA) declares solar energy the world's largest renewable energy source by 2030, will solar energy becoming the largest renewable source lead to a 35% decrease in global reliance on fossil fuels by 2040?",0.35,0.35526808841886814
expevidence,Will the next edition of the Nobel Prize in Literature be awarded to a multilingual author by 2030?,0.65,Will awarding the Nobel Prize in Literature to a multilingual author in 2030 increase global interest in linguistic studies by 10%?,0.15,"Given that the next edition of the Nobel Prize in Literature is awarded to a multilingual author by 2030, will this increase global interest in linguistic studies by 10%?",0.35,0.06409338800897783
expevidence,Will the first successful gene therapy for Alzheimer's disease be approved by the FDA by 2032?,0.35,Will the approval of a gene therapy for Alzheimer's result in a 30% reduction in disease progression rates by 2040?,0.35,"Given that the first successful gene therapy for Alzheimer's disease is approved by the FDA by 2032, will it result in a 30% reduction in disease progression rates by 2040?",0.35,0.31930228592022347
expevidence,Will the first commercial vertical takeoff and landing (VTOL) aircraft be operational for public transport by 2030?,0.65,Will the introduction of commercial VTOL aircraft reduce urban traffic congestion by 15% in major cities by 2040?,0.25,"Given that the first commercial VTOL aircraft is operational for public transport by 2030, will it reduce urban traffic congestion by 15% in major cities by 2040?",0.45,0.08117080989401458
expevidence,Will the World Health Organization declare a global eradication of polio by 2050?,0.75,Will the eradication of polio lead to a 20% increase in global life expectancy by 2060?,0.05,"Given that the World Health Organization declares a global eradication of polio by 2050, will the eradication of polio lead to a 20% increase in global life expectancy by 2060?",0.05,0.2983183563532057
expevidence,Will the next Olympic Games feature drone racing as an official sport by 2032?,0.15,Will the inclusion of drone racing in the Olympics increase global participation in the sport by 50% by 2040?,0.65,"Given that the next Olympic Games feature drone racing as an official sport by 2032, will the inclusion of drone racing in the Olympics increase global participation in the sport by 50% by 2040?",0.65,0.6755428293999017
expevidence,Will quantum encryption be the standard for global internet security by 2040?,0.35,Will the adoption of quantum encryption reduce global cyber-attacks by 60% by 2050?,0.25,"Given that quantum encryption becomes the standard for global internet security by 2040, will the adoption of quantum encryption reduce global cyber-attacks by 60% by 2050?",0.45,0.40585404947007364
expevidence,Will biodegradable plastics replace conventional plastics in packaging in the EU by 2035?,0.35,Will the shift to biodegradable plastics in EU packaging reduce plastic pollution by 70% by 2045?,0.45,"Given that biodegradable plastics replace conventional plastics in packaging in the EU by 2035, will the shift reduce plastic pollution by 70% by 2045?",0.45,0.3513014945266661
expevidence,Will artificial intelligence surpass human performance in medical diagnostics by 2030?,0.65,Will the surpassing of human diagnostics by AI lead to a 25% decrease in medical misdiagnoses globally by 2035?,0.45,"Given that artificial intelligence surpasses human performance in medical diagnostics by 2030, will the surpassing of human diagnostics by AI lead to a 25% decrease in medical misdiagnoses globally by 2035?",0.65,0.2728624235102382
expevidence,Will the United States pass a federal law mandating electric vehicles by 2040?,0.65,Will the federal mandate for electric vehicles result in a 50% reduction in greenhouse gas emissions from transportation by 2050?,0.45,"Given that the United States passes a federal law mandating electric vehicles by 2040, will the federal mandate for electric vehicles result in a 50% reduction in greenhouse gas emissions from transportation by 2050?",0.65,0.2728624235102382
expevidence,Will the first commercial hyperloop service begin operations by 2032?,0.35,Will the introduction of commercial hyperloop services reduce intercity travel times by 50% by 2040?,0.25,"Given that the first commercial hyperloop service begins operations by 2032, will the introduction of commercial hyperloop services reduce intercity travel times by 50% by 2040?",0.35,0.0623863782984532
expevidence,Will the next Nobel Prize in Chemistry be awarded for advancements in renewable energy storage by 2030?,0.35,Will the recognition of renewable energy storage advancements in the Nobel Prize lead to a 40% increase in global investment in the sector by 2040?,0.35,"Given that the next Nobel Prize in Chemistry is awarded for advancements in renewable energy storage by 2030, will this lead to a 40% increase in global investment in the sector by 2040?",0.75,0.12047318414773364
expevidence,Will the first successful 3D-printed organ transplant occur by 2035?,0.65,Will the success of a 3D-printed organ transplant lead to widespread adoption of 3D printing in organ manufacturing by 2045?,0.65,"Given that the first successful 3D-printed organ transplant occurs by 2035, will it lead to widespread adoption of 3D printing in organ manufacturing by 2045?",0.75,0.06558368546408776
expevidence,Will the Global Education Summit establish universal digital literacy standards by 2030?,0.35,Will the establishment of universal digital literacy standards lead to a 30% increase in global digital workforce participation by 2040?,0.45,"Given that the Global Education Summit establishes universal digital literacy standards by 2030, will there be a 30% increase in global digital workforce participation by 2040?",0.75,0.2939828698722658
expevidence,Will the first successful CRISPR-based gene drive project be implemented in the wild by 2033?,0.65,Will the implementation of a CRISPR gene drive lead to the eradication of invasive species in the targeted ecosystem by 2040?,0.35,"Given that the first successful CRISPR-based gene drive project is implemented in the wild by 2033, will it lead to the eradication of invasive species in the targeted ecosystem by 2040?",0.45,0.008350603305910233
expevidence,Will the first humanoid robot receive citizenship status in any country by 2045?,0.15,Will the granting of citizenship to a humanoid robot lead to additional robots receiving similar status by 2050?,0.35,"Given that the first humanoid robot receives citizenship status in any country by 2045, will the granting of citizenship to a humanoid robot lead to additional robots receiving similar status by 2050?",0.65,0.9950618207579144
expevidence,Will the International Monetary Fund double its investment in emerging markets by 2035?,0.55,Will the IMF's doubled investment result in a 25% reduction in poverty rates in emerging markets by 2045?,0.55,"Given that the International Monetary Fund doubles its investment in emerging markets by 2035, will this result in a 25% reduction in poverty rates in those markets by 2045?",0.65,0.24242119844398008
expevidence,Will the first fully autonomous commercial shipping fleet be operational by 2038?,0.65,Will the operation of autonomous shipping fleets reduce global shipping costs by 30% by 2050?,0.65,"Given that the first fully autonomous commercial shipping fleet is operational by 2038, will the operation of autonomous shipping fleets reduce global shipping costs by 30% by 2050?",0.65,0.22592770576744442
expevidence,Will the first successful human brain upload occur by 2090?,0.15,Will the successful brain upload lead to legal recognition of digital consciousness by 2100?,0.35,"Given that the first successful human brain upload occurs by 2090, will it lead to legal recognition of digital consciousness by 2100?",0.65,1.1584717780685114
expevidence,Will the first successful interspecies organ transplant occur by 2060?,0.75,Will interspecies organ transplants become a mainstream medical practice by 2070?,0.65,"Given that the first successful interspecies organ transplant occurs by 2060, will such transplants become a mainstream medical practice by 2070?",0.35,0.5112394443100787
expevidence,Will virtual reality tourism replace traditional tourism for 30% of travelers by 2040?,0.25,Will the rise of virtual reality tourism result in a 20% decrease in carbon emissions from the travel industry by 2050?,0.25,"Given that virtual reality tourism replaces traditional tourism for 30% of travelers by 2040, will the rise of virtual reality tourism result in a 20% decrease in carbon emissions from the travel industry by 2050?",0.65,0.6955864316103959
expevidence,Will the World Health Organization declare a global pandemic preparedness level of 5 by 2045?,0.35,Will achieving a pandemic preparedness level of 5 prevent at least three major pandemics by 2070?,0.65,"Given that the World Health Organization declares a global pandemic preparedness level of 5 by 2045, will achieving this level prevent at least three major pandemics by 2070?",0.65,0.5053001119411815
expevidence,Will the first human use augmented reality implants for enhanced cognitive functions by 2050?,0.65,Will the use of augmented reality cognitive implants lead to a 15% increase in problem-solving efficiency in humans by 2060?,0.65,"Given that the first human uses augmented reality implants for enhanced cognitive functions by 2050, will the use of augmented reality cognitive implants lead to a 15% increase in problem-solving efficiency in humans by 2060?",0.65,0.22592770576744442
expevidence,Will the first fully autonomous smart city be operational by 2040?,0.35,Will the operation of a fully autonomous smart city lead to a 40% reduction in urban energy consumption by 2050?,0.45,"Given that the first fully autonomous smart city is operational by 2040, will it lead to a 40% reduction in urban energy consumption by 2050?",0.75,0.5936266364863786
expevidence,Will the first time capsule from the year 2100 be opened in 2200?,0.35,Will the contents of the 2100 time capsule provide significant insights into 22nd-century society?,0.65,"Given that the first time capsule from the year 2100 is opened in 2200, will the contents provide significant insights into 22nd-century society?",0.75,0.39363952631476984
expevidence,Will the first successful telepathic communication device be developed by 2070?,0.35,Will the development of telepathic communication devices lead to a 50% reduction in language-based misunderstandings globally by 2080?,0.15,"Given that the first successful telepathic communication device is developed by 2070, will it lead to a 50% reduction in language-based misunderstandings globally by 2080?",0.35,0.398504393253625
expevidence,Will the next Harvard University graduate class have more women than men by 2030?,0.65,Will the gender imbalance in Harvard's graduate class influence policy changes in university admissions by 2040?,0.65,"Given that the next Harvard University graduate class has more women than men by 2030, will the gender imbalance influence policy changes in university admissions by 2040?",0.35,0.3501828941234927
expevidence,Will the first human achieve immortality through genetic engineering by 2100?,0.05,Will the achievement of human immortality lead to global population exceeding 15 billion by 2200?,0.35,"Given that the first human achieves immortality through genetic engineering by 2100, will the global population exceed 15 billion by 2200?",0.35,1.1268568274257815
expevidence,Will the first successful time travel experiment be conducted by 2090?,0.05,Will the successful time travel experiment lead to the discovery of historical events previously thought impossible to witness?,0.01,"Given that the first successful time travel experiment is conducted by 2090, will it lead to the discovery of historical events previously thought impossible to witness?",0.75,2.9063238954935557
expevidence,Will the first fully sustainable ocean city be established by 2060?,0.45,Will the establishment of a sustainable ocean city lead to the development of ten more such cities by 2100?,0.65,"Given that the first fully sustainable ocean city is established by 2060, will it lead to the development of ten more such cities by 2100?",0.65,0.32769826654680645
expevidence,Will the first successful human teleportation occur by 2200?,0.05,Will human teleportation revolutionize global transportation infrastructure by 2250?,0.15,"Given that the first successful human teleportation occurs by 2200, will human teleportation revolutionize global transportation infrastructure by 2250?",0.65,0.5680601066282743
expevidence,Will the first human colony on Mars self-sustain without Earth support by 2080?,0.15,Will a self-sustaining Mars colony inspire the establishment of similar colonies on other celestial bodies by 2100?,0.65,"Given that the first human colony on Mars self-sustains without Earth support by 2080, will it inspire the establishment of similar colonies on other celestial bodies by 2100?",0.65,0.5962424587602831
expevidence,Will the first successful human-robot symbiosis be achieved by 2075?,0.45,Will human-robot symbiosis lead to a 50% increase in human cognitive and physical capabilities by 2100?,0.65,"Given that the first successful human-robot symbiosis is achieved by 2075, will it lead to a 50% increase in human cognitive and physical capabilities by 2100?",0.65,0.1805526144789651
expevidence,Will the first commercially viable anti-aging treatment be available by 2050?,0.45,Will the availability of anti-aging treatments extend the average human lifespan to 120 years by 2100?,0.15,"Given that the first commercially viable anti-aging treatment is available by 2050, will the availability of anti-aging treatments extend the average human lifespan to 120 years by 2100?",0.15,0.5118772006018069
expevidence,Will the first successful brain-to-brain communication device be developed by 2080?,0.65,Will brain-to-brain communication lead to a 20% improvement in global collaborative problem-solving by 2100?,0.35,"Given that the first successful brain-to-brain communication device is developed by 2080, will brain-to-brain communication lead to a 20% improvement in global collaborative problem-solving by 2100?",0.65,0.0
expevidence,Will the first successful human genome edit result in immunity to all known viruses by 2070?,0.05,Will genome-edited immunity lead to a 70% reduction in global healthcare costs related to viral diseases by 2085?,0.15,"Given that the first successful human genome edit results in immunity to all known viruses by 2070, will genome-edited immunity lead to a 70% reduction in global healthcare costs related to viral diseases by 2085?",0.45,1.002266155911462
expevidence,Will humanity achieve faster-than-light travel by 2500?,0.05,Will faster-than-light travel enable intergalactic colonization within 100 years of its invention?,0.05,"Given that humanity achieves faster-than-light travel by 2500, will it enable intergalactic colonization within 100 years of its invention?",0.35,1.1502417597746748
expevidence,Will the first successful human-machine consciousness merge occur by 2200?,0.35,Will human-machine consciousness merges lead to the creation of a new sentient species by 2300?,0.35,"Given that the first successful human-machine consciousness merge occurs by 2200, will human-machine consciousness merges lead to the creation of a new sentient species by 2300?",0.35,0.31930228592022347
expevidence,Will the first successful human rejuvenation therapy extend human lifespan by 50 years by 2100?,0.25,Will the extension of human lifespan through rejuvenation therapy result in a global population of 20 billion by 2200?,0.15,"Given that the first successful human rejuvenation therapy extends human lifespan by 50 years by 2100, will the global population reach 20 billion by 2200?",0.25,0.5533853140487448
expevidence,Will the first fully functional human hibernation suit be developed by 2080?,0.35,Will human hibernation suits be widely adopted for long-duration space travel by 2100?,0.45,"Given that the first fully functional human hibernation suit is developed by 2080, will human hibernation suits be widely adopted for long-duration space travel by 2100?",0.75,0.20143939106994638
expevidence,Will the first human achieve multilinguistic telepathy using neural implants by 2095?,0.25,Will multilinguistic telepathy lead to a 35% increase in international diplomatic agreements by 2110?,0.15,"Given that the first human achieves multilinguistic telepathy using neural implants by 2095, will multilinguistic telepathy lead to a 35% increase in international diplomatic agreements by 2110?",0.55,0.6419230412994278
expevidence,Will the first successful teleportation of biological material occur by 2300?,0.35,Will biological teleportation technology result in the eradication of all infectious diseases by 2400?,0.01,"Given that the first successful teleportation of biological material occurs by 2300, will biological teleportation technology result in the eradication of all infectious diseases by 2400?",0.15,0.157279570078238
expevidence,Will the first fully immersive virtual universe with permanent residency be established by 2200?,0.65,Will the establishment of a permanent virtual residency universe lead to a 30% decline in physical world migration by 2300?,0.15,"Given that the first fully immersive virtual universe with permanent residency is established by 2200, will it lead to a 30% decline in physical world migration by 2300? Body: Given that a virtual universe allowing users to have permanent virtual residency is created by December 31, 2200, this question asks if physical world migration rates will decrease by 30% by December 31, 2300. The resolution will be YES if either the virtual universe is not established by 2200 or if both the virtual universe is established by 2200 and the migration decline occurs by 2300. It will resolve as NO only if the virtual universe is established by 2200 and the migration decline does not occur by 2300. Resolution sources include global migration studies and virtual reality development reports.",0.65,0.0
expevidence,Will the first successful atmospheric terraforming of Mars begin by 2500?,0.65,Will atmospheric terraforming of Mars result in a breathable atmosphere within 200 years of initiation?,0.05,"Given that the first successful atmospheric terraforming of Mars begins by 2500, will it result in a breathable atmosphere within 200 years of initiation?",0.15,0.5520206971283931
