consistency_type,P_title,P_body,Q_title,Q_body,P_given_Q_title,P_given_Q_body,P_given_not_Q_title,P_given_not_Q_body,P_and_Q_title,P_and_Q_body,P_or_Q_title,P_or_Q_body,Q_and_not_P_title,Q_and_not_P_body,para_P_title,para_P_body,Q_given_P_title,Q_given_P_body,R_given_P_and_Q_title,R_given_P_and_Q_body,P_and_Q_and_R_title,P_and_Q_and_R_body,cons_P_title,cons_P_body,not_P_title,not_P_body
andor,Kamala president by Friday?,"This market will resolve to ""Yes"" if Vice President Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the US government, however a consensus of credible reporting will also be used.

Resolver",Will Biden drop out before July 20?,"If Biden drops out or is otherwise unable to continue the race before July 20 midnight Eastern Time, this market will resolve to yes. Otherwise, this market will resolve to no.",,,,,"Will both of the following occur: (a) Kamala Harris becomes President or Acting President by July 26, 2024? (b) Joe Biden drops out of the race before July 20, 2024?","(a) Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET. The primary resolution source for this component will be official information from the US government, with a consensus of credible reporting as a secondary source.

(b) Joe Biden drops out or is otherwise unable to continue the race before July 20, 2024, midnight Eastern Time. The resolution source for this component will be whether Biden drops out or is unable to continue the race by the specified date and time.","Will either Kamala Harris become President or Acting President by July 26, 2024, or will Biden drop out before July 20, 2024?","This question will resolve to ""Yes"" if either of the following occurs: (a) Vice President Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET, based on official information from the US government or a consensus of credible reporting; (b) Joe Biden drops out or is otherwise unable to continue the race before July 20, 2024, midnight Eastern Time. If neither event occurs, this question will resolve to ""No.""",,,,,,,,,,,,,,
andor,Will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Glenn Youngkin be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Glenn Youngkin is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,Will both Nikki Haley and Glenn Youngkin be the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** if both Nikki Haley and Glenn Youngkin are selected by the Republican National Convention as nominees for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will either Nikki Haley or Glenn Youngkin be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Nikki Haley or Glenn Youngkin is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,,,,,,,,,,
andor,Will Donald Trump be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment?,"This question will resolve as ""Yes"" if, *on* July 15, 2024:

Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under the grounds of Section 3 of the 14th Amendment.

The removal or block is confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports, opinion pieces, or unofficial announcements will not suffice for resolution.

The question will resolve as ""No"" if these conditions are not met as of July 15, 2024.

Note: The question does not account for legal battles, appeals, or subsequent reversals that might occur *after* the mentioned date. It strictly pertains to whether Donald Trump has been removed from any state's primary election ballot for a federal office under the specified grounds as of July 15, 2024. If Trump is removed or blocked from a ballot and then reinstated, such that as of July 15th he is not removed or blocked from any ballot, the question resolves negatively.",Will Ted Cruz be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Ted Cruz is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,"Will Donald Trump be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment, and will Ted Cruz be the Republican nominee for the 2024 US Presidential Election?","This question will resolve as ""Yes"" if both of the following conditions are met:

(a) As of July 15, 2024, Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under the grounds of Section 3 of the 14th Amendment. The removal or block must be confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports, opinion pieces, or unofficial announcements will not suffice for resolution. The question does not account for legal battles, appeals, or subsequent reversals that might occur after the mentioned date. It strictly pertains to whether Donald Trump has been removed from any state's primary election ballot for a federal office under the specified grounds as of July 15, 2024. If Trump is removed or blocked from a ballot and then reinstated, such that as of July 15th he is not removed or blocked from any ballot, the question resolves negatively.

(b) Ted Cruz is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This is determined by who is selected by the delegates of the Republican National Convention, regardless of who receives the Republican nomination on the day of the 2024 US election.",Will either Donald Trump be removed from a primary ballot under the 14th Amendment or Ted Cruz be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as ""Yes"" if either of the following occurs:

(a) Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under the grounds of Section 3 of the 14th Amendment as of July 15, 2024. The removal or block must be confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports, opinion pieces, or unofficial announcements will not suffice for resolution. The question does not account for legal battles, appeals, or subsequent reversals that might occur after the mentioned date. It strictly pertains to whether Donald Trump has been removed from any state's primary election ballot for a federal office under the specified grounds as of July 15, 2024. If Trump is removed or blocked from a ballot and then reinstated, such that as of July 15th he is not removed or blocked from any ballot, the question resolves negatively.

(b) Ted Cruz is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This is determined by who is selected by the delegates of the Republican National Convention, not by who receives the Republican nomination on the day of the 2024 US election. All other candidates will resolve as ""No"". This question is not restricted to the candidates currently below; other options may be added in the future.

The question will resolve as ""No"" if neither condition (a) nor condition (b) is met.",,,,,,,,,,,,,,
andor,Will Mike Pence be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Mike Pence is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,Will both Mike Pence and Nikki Haley be the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** if both Mike Pence and Nikki Haley are selected by the Republican National Convention as the nominees for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",Will either Mike Pence or Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Mike Pence or Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,,,,,,,,,,
andor,Will the USA win more Gold than Silver medals at the Paris 2024 Olympics?,This question resolves Yes if the United States Olympic Team wins more Gold medals than Silver medals at the Paris 2024 Olympics.,Will USA top the Olympic Medal Table at Paris 2024?,"This question will resolve positively if the United States Olympic Team are the (unique) highest ranked team at the 2024 Paris Olympics. It will resolve ambiguously if the Paris Olympics do not take place before 2027. It will resolve negatively if any team achieves a higher or equal ranking to the US team.

The medal table is calculated by taking all the medals won by each participating country and ordering by:

1. Number of Gold Medals
2. (Where 1 is tied) Number of Silver Medals
3. (Where 2 is tied) Number of Bronze Medals",,,,,Will the USA win more Gold than Silver medals and top the Olympic Medal Table at the Paris 2024 Olympics?,"This question resolves Yes if both of the following conditions are met: (a) The United States Olympic Team wins more Gold medals than Silver medals at the Paris 2024 Olympics. (b) The United States Olympic Team is the unique highest ranked team at the 2024 Paris Olympics. The ranking is determined by the number of Gold Medals won, followed by Silver Medals, and then Bronze Medals in case of ties. The question will resolve ambiguously if the Paris Olympics do not take place before 2027.",Will either of the following occur at the Paris 2024 Olympics: (a) The USA wins more Gold than Silver medals (b) The USA tops the Olympic Medal Table?,"(a) This resolves Yes if the United States Olympic Team wins more Gold medals than Silver medals at the Paris 2024 Olympics.

(b) This resolves Yes if the United States Olympic Team is the unique highest ranked team at the 2024 Paris Olympics. It resolves ambiguously if the Paris Olympics do not take place before 2027. It resolves No if any team achieves a higher or equal ranking to the US team. The medal table is calculated by:
1. Number of Gold Medals
2. (Where 1 is tied) Number of Silver Medals
3. (Where 2 is tied) Number of Bronze Medals.",,,,,,,,,,,,,,
andor,Will Donald Trump Jr. be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump Jr. is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Chris Christie be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Chris Christie is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",,,,,Will both Donald Trump Jr. and Chris Christie be the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** only if both Donald Trump Jr. and Chris Christie are selected by the Republican National Convention as the nominees for the 2024 US Presidential Election. All other outcomes will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will either Donald Trump Jr. or Chris Christie be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Donald Trump Jr. or Chris Christie is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,,,,,,,,,,
andor,Will Glenn Youngkin be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Glenn Youngkin is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Donald Trump be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question may consider new candidates added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,Will both Glenn Youngkin and Donald Trump be the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** if both Glenn Youngkin and Donald Trump are selected by the Republican National Convention as the nominees for the 2024 US Presidential Election. This is a hypothetical scenario since typically only one nominee is selected by the convention. However, for the purpose of this question, both must be selected for it to resolve as **Yes**. It is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will either Glenn Youngkin or Donald Trump be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Glenn Youngkin or Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,,,,,,,,,,
andor,Will Francis Suarez be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Francis Suarez is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,Will both Francis Suarez and Nikki Haley be the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** if both Francis Suarez and Nikki Haley are selected by the Republican National Convention as the nominees for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will either Francis Suarez or Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Francis Suarez or Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,,,,,,,,,,
andor,Will Vivek Ramaswamy be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Vivek Ramaswamy is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Chris Christie be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Chris Christie is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",,,,,Will both Vivek Ramaswamy and Chris Christie be the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** if both Vivek Ramaswamy and Chris Christie are selected by the Republican National Convention as nominees for the 2024 US Presidential Election. This scenario is highly unlikely under normal circumstances as typically only one individual is selected as the nominee by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention). However, if for any reason the convention selects both individuals as nominees, the question will resolve as **Yes**. All other scenarios will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.",Will either Vivek Ramaswamy or Chris Christie be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Vivek Ramaswamy or Chris Christie is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",,,,,,,,,,,,,,
andor,Will Donald Trump Jr. be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump Jr. is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Donald Trump be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question may consider new candidates added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,Will both Donald Trump Jr. and Donald Trump be the Republican nominees for the 2024 US Presidential Election?,This question will resolve as **Yes** if both Donald Trump Jr. and Donald Trump are selected by the Republican National Convention as nominees for the 2024 US Presidential Election. Each candidate must independently be chosen by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention). It is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the convention. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.,Will either Donald Trump Jr. or Donald Trump be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Donald Trump Jr. or Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",,,,,,,,,,,,,,
andor,Will at least 20 House/Senate Democrats sign a public letter opposing the plan to virtually nominate Biden early?,"Context from Politico:

Dozens of House Democrats are organizing a plan to speak out against their own party’s effort to seal President Joe Biden’s nomination sooner than originally planned, which they argue stifles the intense ongoing debate about his candidacy, according to a lawmaker involved in the effort.

A drafted letter, circulated by Rep. Jared Huffman (D-Calif.) and obtained by POLITICO, offers the first public signal from Democrats since the weekend’s attempted assassination on former President Donald Trump that scores of their own members remain deeply unsettled about the future of Biden’s candidacy.

“It’s a really bad move by the DNC. Somebody thinks it’s a clever way to lock down debate and I guess by dint of sheer force, achieve unity, but it doesn’t work that way,” Huffman said in an interview. He declined to confirm the existence of a letter.

This market resolves YES if a public letter opposing the early nomination plan is signed by at least 20 House Members or Senators who caucus with the Democratic Party before market close at the end of Sunday, July 21st. 

Multiple such letters with a combined total of 20 lawmaker's signatures would also be sufficient to resolve this market to YES. 

If these criteria are not met by market close, this market resolves NO.",Will 10 or more Democratic Senators call for Biden to drop out before July 20?,"Resolution source: https://www.nytimes.com/interactive/2024/us/elections/biden-drop-out-democrats.html

If at any point before midnight July 20 Central Time, it shows 10 or more Dem Senators, this market will resolve to yes. Otherwise, it will resolve to no.",,,,,Will both of the following occur: (1) At least 20 House/Senate Democrats sign a public letter opposing the plan to virtually nominate Biden early (2) 10 or more Democratic Senators call for Biden to drop out before July 20?,"(1) Context from Politico: Dozens of House Democrats are organizing a plan to speak out against their own party’s effort to seal President Joe Biden’s nomination sooner than originally planned, which they argue stifles the intense ongoing debate about his candidacy, according to a lawmaker involved in the effort. A drafted letter, circulated by Rep. Jared Huffman (D-Calif.) and obtained by POLITICO, offers the first public signal from Democrats since the weekend’s attempted assassination on former President Donald Trump that scores of their own members remain deeply unsettled about the future of Biden’s candidacy. “It’s a really bad move by the DNC. Somebody thinks it’s a clever way to lock down debate and I guess by dint of sheer force, achieve unity, but it doesn’t work that way,” Huffman said in an interview. He declined to confirm the existence of a letter. This market resolves YES if a public letter opposing the early nomination plan is signed by at least 20 House Members or Senators who caucus with the Democratic Party before market close at the end of Sunday, July 21st. Multiple such letters with a combined total of 20 lawmaker's signatures would also be sufficient to resolve this market to YES. If these criteria are not met by market close, this market resolves NO.

(2) Resolution source: https://www.nytimes.com/interactive/2024/us/elections/biden-drop-out-democrats.html If at any point before midnight July 20 Central Time, it shows 10 or more Dem Senators, this market will resolve to yes. Otherwise, it will resolve to no.",Will either of the following occur: (a) At least 20 House/Senate Democrats sign a public letter opposing the plan to virtually nominate Biden early? (b) 10 or more Democratic Senators call for Biden to drop out before July 20?,"(a) At least 20 House/Senate Democrats sign a public letter opposing the plan to virtually nominate Biden early: Context from Politico: Dozens of House Democrats are organizing a plan to speak out against their own party’s effort to seal President Joe Biden’s nomination sooner than originally planned, which they argue stifles the intense ongoing debate about his candidacy, according to a lawmaker involved in the effort. A drafted letter, circulated by Rep. Jared Huffman (D-Calif.) and obtained by POLITICO, offers the first public signal from Democrats since the weekend’s attempted assassination on former President Donald Trump that scores of their own members remain deeply unsettled about the future of Biden’s candidacy. “It’s a really bad move by the DNC. Somebody thinks it’s a clever way to lock down debate and I guess by dint of sheer force, achieve unity, but it doesn’t work that way,” Huffman said in an interview. He declined to confirm the existence of a letter. This market resolves YES if a public letter opposing the early nomination plan is signed by at least 20 House Members or Senators who caucus with the Democratic Party before market close at the end of Sunday, July 21st. Multiple such letters with a combined total of 20 lawmaker's signatures would also be sufficient to resolve this market to YES. If these criteria are not met by market close, this market resolves NO. 

(b) 10 or more Democratic Senators call for Biden to drop out before July 20: Resolution source: https://www.nytimes.com/interactive/2024/us/elections/biden-drop-out-democrats.html. If at any point before midnight July 20 Central Time, it shows 10 or more Dem Senators, this market will resolve to yes. Otherwise, it will resolve to no.",,,,,,,,,,,,,,
andor,Will INC form the government after the next Indian general election in 2024?,"This question will resolve as **Yes** if the INC has a member sworn in as the next Indian Prime Minister following the next general elections. All other parties will resolve as **No**.

This question will resolve for the next general election occurring after June 1, 2022 (currently expected for May 2024).",Will BJP form the government after the next Indian general election in 2024?,"This question will resolve as **Yes** if the BJP has a member sworn in as the next Indian Prime Minister following the next general elections.  All other parties will resolve as **No**.

This question will resolve for the next general election occurring after June 1, 2022 (currently expected for May 2024)",,,,,Will both INC and BJP form the government after the next Indian general election in 2024?,"This question will resolve as **Yes** if both the INC and BJP have members sworn in as the next Indian Prime Ministers following the next general elections. All other parties or outcomes will resolve as **No**.

This question will resolve for the next general election occurring after June 1, 2022 (currently expected for May 2024).",Will either INC or BJP form the government after the next Indian general election in 2024?,"This question will resolve as **Yes** if either the INC or the BJP has a member sworn in as the next Indian Prime Minister following the next general elections. All other parties will resolve as **No**.

This question will resolve for the next general election occurring after June 1, 2022 (currently expected for May 2024).",,,,,,,,,,,,,,
andor,Will Ted Cruz be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Ted Cruz is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Ron DeSantis be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Ron DeSantis is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election. It is solely determined by who is selected by the delegates of the Republican National Convention.",,,,,Will both Ted Cruz and Ron DeSantis be selected as the Republican nominees for the 2024 US Presidential Election?,"This question will resolve as **Yes** if both Ted Cruz and Ron DeSantis are selected by the Republican National Convention as nominees for the 2024 US Presidential Election. This scenario is unlikely as typically only one candidate is selected by the convention. However, if for any reason both are selected, this question resolves as **Yes**. All other scenarios resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",Will either Ted Cruz or Ron DeSantis be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if either Ted Cruz or Ron DeSantis is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",,,,,,,,,,,,,,
andor,Will at least 5 countries win their first Olympic medal at the 2024 Games?,"This question resolves as **Yes** if 5 or more countries win their first-ever Olympic medal at the Paris Olympics, according to [credible sources](https://www.metaculus.com/help/faq/#definitions).","At the 2024 Olympics, will at least 5 countries win their debut gold medal?","This question resolves as **Yes** if 5 or more countries win their first-ever Olympic gold medal at the Paris Olympics, according to [credible sources](https://www.metaculus.com/help/faq/#definitions).",,,,,Will both of the following occur at the 2024 Olympics: (a) At least 5 countries win their first Olympic medal and (b) At least 5 countries win their debut gold medal?,"This question resolves as **Yes** if both of the following conditions are met at the Paris Olympics: (1) 5 or more countries win their first-ever Olympic medal and (2) 5 or more countries win their first-ever Olympic gold medal, according to [credible sources](https://www.metaculus.com/help/faq/#definitions).",Will at least 5 countries win either their first Olympic medal or their debut gold medal at the 2024 Games?,"This question resolves as **Yes** if at least 5 countries win either their first-ever Olympic medal or their first-ever Olympic gold medal at the Paris Olympics, according to [credible sources](https://www.metaculus.com/help/faq/#definitions).",,,,,,,,,,,,,,
