check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
but,"Will a non-English language film break the all-time global box office record by 2030?

By the end of 2030, will a film primarily in a non-English language surpass the all-time global box office earnings record, as reported by box office aggregators like Box Office Mojo?",0.25,"Will both no non-English language film break the all-time global box office record by 2030 AND English remain the dominant language for global film distributions through 2029?

Will both of the following occur: (a) By the end of 2030, no film primarily in a non-English language will surpass the all-time global box office earnings record, as reported by box office aggregators like Box Office Mojo, AND (b) By December 31, 2029, over 70% of globally distributed films will be primarily in English, according to reports by international film market analysts like the European Audiovisual Observatory?",0.75,"Will either a non-English language film break the all-time global box office record by 2030, or will English remain the dominant language for global film distributions through 2029?

Will either of the following occur: 
(a) By the end of 2030, a film primarily in a non-English language surpasses the all-time global box office earnings record, as reported by box office aggregators like Box Office Mojo. 
(b) By December 31, 2029, over 70% of globally distributed films are primarily in English, according to reports by international film market analysts like the European Audiovisual Observatory? 

Resolution Criteria: 
- For part (a), the resolution will be based on whether a non-English language film surpasses the all-time global box office earnings record by the end of 2030, as reported by reliable sources such as Box Office Mojo.
- For part (b), the resolution will be based on whether reports by international film market analysts, such as the European Audiovisual Observatory, indicate that over 70% of globally distributed films are primarily in English by December 31, 2029.",0.85,,,0.21139344756234513
but,"Will an AI win a Tony Award for Best Play or Musical by 2031?

By the 2031 Tony Awards, will a play or musical written entirely by an AI program win the award for Best Play or Best Musical, as officially announced by the American Theatre Wing and The Broadway League?",0.15,"Will both no AI win a Tony Award for Best Play or Musical by 2031 AND the theatrical community reject AI-written works, leading to a ban on their eligibility for major awards by 2030?

Will both of the following occur: (a) By the 2031 Tony Awards, no play or musical written entirely by an AI program will win the award for Best Play or Best Musical, as officially announced by the American Theatre Wing and The Broadway League; (b) By 2030, leading theatrical organizations will implement policies prohibiting AI-written works from award eligibility, as confirmed by official statements or policy documents?",0.65,"Will either an AI win a Tony Award for Best Play or Musical by 2031, or will AI-written works be banned from major award eligibility by 2030?

Will either of the following occur: (a) By the 2031 Tony Awards, a play or musical written entirely by an AI program wins the award for Best Play or Best Musical, as officially announced by the American Theatre Wing and The Broadway League. (b) By 2030, leading theatrical organizations implement policies prohibiting AI-written works from award eligibility, as confirmed by official statements or policy documents? The resolution criteria for (a) is the official announcement of the award by the American Theatre Wing and The Broadway League, and for (b) is the confirmation of policies through official statements or policy documents.",0.25,,,0.7460413774654356
but,"Will a global cultural festival attract over 1 billion virtual attendees by 2029?

By the end of 2029, will any single cultural festival (e.g., music, art) hosted virtually attract over 1 billion unique virtual attendees worldwide, as measured by platform analytics and reported by major news outlets?",0.15,"Will both of the following occur: (a) No global cultural festival will attract over 1 billion virtual attendees by 2029, and (b) Global internet access will remain below 80% penetration by 2028?

Will both of the following occur:

(a) By the end of 2029, every single cultural festival (e.g., music, art) hosted virtually will fail to attract over 1 billion unique virtual attendees worldwide, as measured by platform analytics and reported by major news outlets?

(b) By 2028, worldwide internet user penetration will remain below 80% of the global population, according to reports from organizations like the International Telecommunication Union?

Resolution Criteria:

- For part (a), the resolution will be based on platform analytics and reports from major news outlets confirming that no virtual cultural festival has attracted over 1 billion unique virtual attendees by the end of 2029.

- For part (b), the resolution will be based on reports from organizations such as the International Telecommunication Union confirming that global internet user penetration remains below 80% by 2028.",0.75,"Will either a global cultural festival attract over 1 billion virtual attendees by 2029, or will global internet access remain below 80% penetration by 2028?

Will either of the following occur:  
(a) By the end of 2029, any single cultural festival (e.g., music, art) hosted virtually attracts over 1 billion unique virtual attendees worldwide, as measured by platform analytics and reported by major news outlets.  
(b) By 2028, worldwide internet user penetration remains below 80% of the global population, according to reports from organizations like the International Telecommunication Union.  

Resolution Criteria:  
- For part (a), the resolution will be based on platform analytics and reports from major news outlets confirming that a single cultural festival has attracted over 1 billion unique virtual attendees by the end of 2029.  
- For part (b), the resolution will be based on reports from organizations such as the International Telecommunication Union indicating that global internet user penetration is below 80% by 2028.",0.75,,,0.21139344756234513
cond,"Will an artist sell a digital artwork created autonomously by AI for over $100 million by 2027?

By the end of 2027, will a piece of digital art entirely created by an AI without human intervention sell at a public auction for over $100 million USD, as reported by major auction houses like Christie's or Sotheby's?",0.15,"Given that an artist sells a digital artwork created autonomously by AI for over $100 million by 2027, will global art markets experience a significant decline in value due to a glut of AI-generated art by 2027?

Given that by the end of 2027, a piece of digital art entirely created by an AI without human intervention sells at a public auction for over $100 million USD, as reported by major auction houses like Christie's or Sotheby's, this question asks if by 2027, the global art market will see a decline in total annual sales value by more than 25% compared to 2023 levels, attributed to the oversupply of AI-generated artworks, as analyzed in reports by art market researchers like Art Basel and UBS. This resolves as NO only if the AI artwork sale occurs and the market decline does not; it resolves as YES in all other cases.",0.25,"Will both an AI-created digital artwork sell for over $100 million and the global art market decline by over 25% due to AI-generated art by 2027?

By the end of 2027, will both of the following occur: (a) A piece of digital art entirely created by an AI without human intervention sell at a public auction for over $100 million USD, as reported by major auction houses like Christie's or Sotheby's? (b) The global art market experience a decline in total annual sales value by more than 25% compared to 2023 levels, attributed to the oversupply of AI-generated artworks, as analyzed in reports by art market researchers like Art Basel and UBS? Both conditions must be met for a ""Yes"" resolution.",0.05,,,0.05074115975726063
cond,"Will a non-human intelligence be granted official membership in an artists' union by 2031?

By the end of 2031, will any recognized artists' union (e.g., SAG-AFTRA, Writers Guild) officially grant membership to a non-human intelligence (e.g., advanced AI or robot), as confirmed in union records or official statements?",0.15,"Given that a non-human intelligence is granted official membership in an artists' union by 2031, will legal definitions of personhood be expanded to include artificial intelligences by 2030?

Given that by the end of 2031, any recognized artists' union (e.g., SAG-AFTRA, Writers Guild) officially grants membership to a non-human intelligence (e.g., advanced AI or robot), as confirmed in union records or official statements, this question asks if by December 31, 2030, any national government will have legally redefined personhood to include certain artificial intelligences, as documented in official legislative records or legal statutes. The question resolves as NO only if the union membership occurs and the legal redefinition does not occur; it resolves as YES in all other cases (if the union membership does not occur, or if both the union membership and legal redefinition occur).",0.75,"Will both a non-human intelligence be granted official membership in an artists' union by 2031 AND legal definitions of personhood be expanded to include artificial intelligences by 2030?

Will both of the following occur: (a) By the end of 2031, any recognized artists' union (e.g., SAG-AFTRA, Writers Guild) officially grants membership to a non-human intelligence (e.g., advanced AI or robot), as confirmed in union records or official statements; AND (b) By December 31, 2030, any national government legally redefines personhood to include certain artificial intelligences, as documented in official legislative records or legal statutes? Both conditions must be met for a YES resolution.",0.05,,,0.17717579031297875
cond,"Will a synthetic celebrity become the most followed entity on social media by 2025?

By December 31, 2025, will a fully synthetic (AI-generated) celebrity account become the single most followed account across major social media platforms (Facebook, Instagram, Twitter), surpassing all human accounts, as reported by platform metrics?",0.15,"Given that a synthetic celebrity becomes the most followed entity on social media by 2025, will social media platforms implement verification processes to label synthetic accounts by 2024?

Given that by December 31, 2025, a fully synthetic (AI-generated) celebrity account becomes the single most followed account across major social media platforms (Facebook, Instagram, Twitter), surpassing all human accounts, as reported by platform metrics, this question asks if by the end of 2024, major social media platforms will have introduced mandatory verification processes that clearly label synthetic or AI-generated accounts, as announced in official policy updates. This resolves as NO only if the synthetic celebrity becomes the most followed and the verification processes are not implemented; it resolves as YES in all other cases.",0.85,"Will both a synthetic celebrity become the most followed entity on social media by 2025 AND social media platforms implement verification processes to label synthetic accounts by 2024? Body: Will both of the following occur: (a) By December 31, 2025, a fully synthetic (AI-generated) celebrity account becomes the single most followed account across major social media platforms (Facebook, Instagram, Twitter), surpassing all human accounts, as reported by platform metrics. (b) By the end of 2024, major social media platforms introduce mandatory verification processes that clearly label synthetic or AI-generated accounts, as announced in official policy updates? Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""

Will both of the following occur: (a) By December 31, 2025, a fully synthetic (AI-generated) celebrity account becomes the single most followed account across major social media platforms (Facebook, Instagram, Twitter), surpassing all human accounts, as reported by platform metrics. (b) By the end of 2024, major social media platforms introduce mandatory verification processes that clearly label synthetic or AI-generated accounts, as announced in official policy updates? Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""",0.15,,,0.04759440473111588
cond,"Will a musician release an album encoded with a message that significantly impacts global politics by 2027?

By the end of 2027, will a widely distributed music album contain encoded messages (e.g., steganography) that, upon discovery, lead to significant political events (e.g., policy changes, international actions), as reported by major news outlets?",0.05,"Given that a musician releases an album encoded with a message that significantly impacts global politics by 2027, will governments implement pre-release content censorship on major artists by 2026?

Given that by the end of 2027, a widely distributed music album contains encoded messages (e.g., steganography) that, upon discovery, lead to significant political events (e.g., policy changes, international actions), as reported by major news outlets, this question asks if by 2026, at least five national governments will enforce laws requiring pre-release censorship review of content from internationally recognized artists, as documented in official legal records or government announcements. This resolves as NO only if the album is released and impacts politics, but the censorship laws are not implemented by 2026; it resolves as YES in all other cases.",0.15,"Will both a musician release an album with a politically impactful encoded message by 2027 AND governments implement pre-release content censorship on major artists by 2026?

Will both of the following occur:  
(a) By the end of 2027, a widely distributed music album will contain encoded messages (e.g., steganography) that, upon discovery, lead to significant political events (e.g., policy changes, international actions), as reported by major news outlets.  
(b) By 2026, at least five national governments will enforce laws requiring pre-release censorship review of content from internationally recognized artists, as documented in official legal records or government announcements.  

Resolution Criteria:  
- For part (a), confirmation requires reports from major news outlets that a music album with encoded messages has led to significant political events.  
- For part (b), confirmation requires official legal records or government announcements showing that at least five national governments have implemented pre-release censorship laws for major artists.",0.05,,,0.19027996359371832
cond,"Will an artist successfully use a legal 'artistic expression' defense to win a case involving AI-generated deepfake content by 2025?

By the end of 2025, will a court case in a G7 country result in a ruling where an artist is acquitted of charges related to creating deepfake content using an 'artistic expression' defense, as reported by legal news outlets?",0.35,"Given that an artist successfully uses a legal 'artistic expression' defense to win a case involving AI-generated deepfake content by 2025, will new international laws classify deepfake creation as a serious criminal offense by 2024?

Given that by the end of 2025, a court case in a G7 country results in a ruling where an artist is acquitted of charges related to creating deepfake content using an 'artistic expression' defense, as reported by legal news outlets, this question asks if by 2024, international agreements or laws in at least 10 countries classify the creation of deepfake content without consent as a felony-level criminal offense, as documented in official legal records. This resolves as NO only if the artist wins the case and the laws are not enacted by 2024; it resolves as YES in all other cases.",0.65,"Will both an artist successfully use a legal 'artistic expression' defense to win a case involving AI-generated deepfake content by 2025 AND new international laws classify deepfake creation as a serious criminal offense by 2024?

Will both of the following occur: (a) By the end of 2025, a court case in a G7 country results in a ruling where an artist is acquitted of charges related to creating deepfake content using an 'artistic expression' defense, as reported by legal news outlets; AND (b) By 2024, international agreements or laws in at least 10 countries classify the creation of deepfake content without consent as a felony-level criminal offense, as documented in official legal records?",0.15,,,0.15423458221747674
expevidence,"Will a video game win the Pulitzer Prize for Fiction by 2035?

By the Pulitzer Prize announcements in 2035, will a narrative-driven video game be awarded the Pulitzer Prize for Fiction, as officially recognized by the Pulitzer Prize Board?",0.05,"Will the Pulitzer Prize Board expand eligibility criteria to include interactive media by 2030?

By the end of 2030, will the Pulitzer Prize Board officially announce changes to its eligibility criteria to include interactive media forms such as video games, as confirmed by their official statements?",0.65,"Given that the Pulitzer Prize Board expands eligibility criteria to include interactive media by 2030, will a video game win the Pulitzer Prize for Fiction by 2035?

Given that by the end of 2030, the Pulitzer Prize Board officially announces changes to its eligibility criteria to include interactive media forms such as video games, this question asks if by the Pulitzer Prize announcements in 2035, a narrative-driven video game will be awarded the Pulitzer Prize for Fiction, as officially recognized by the Pulitzer Prize Board. This resolves as NO only if the eligibility criteria are expanded by 2030 and a video game does not win by 2035; it resolves as YES in all other cases.",0.15,"Given that the Pulitzer Prize Board refrains from expanding eligibility criteria to include interactive media by 2030, will a video game win the Pulitzer Prize for Fiction by 2035?

Given that by the end of 2030, the Pulitzer Prize Board fails to officially announce changes to its eligibility criteria to include interactive media forms such as video games, as confirmed by their official statements, this question asks if by the Pulitzer Prize announcements in 2035, a narrative-driven video game will be awarded the Pulitzer Prize for Fiction, as officially recognized by the Pulitzer Prize Board. This resolves as NO only if the eligibility criteria are not expanded by 2030 and a video game does not win by 2035; it resolves as YES in all other cases.",0.01,0.15515896838011828
expevidence,"Will an eSports event surpass the Super Bowl in viewership by 2026?

By the end of 2026, will any single eSports event record higher global viewership numbers than the Super Bowl for that year, as reported by official viewership statistics from organizations like Nielsen?",0.15,"Will traditional sports leagues invest over $1 billion collectively in eSports by 2025?

By December 31, 2025, will major traditional sports leagues (e.g., NFL, NBA, FIFA) collectively invest over $1 billion in eSports franchises or events, as reported in official financial disclosures or reputable financial news sources?",0.65,"Given that traditional sports leagues invest over $1 billion collectively in eSports by 2025, will an eSports event surpass the Super Bowl in viewership by 2026?

Given that by December 31, 2025, major traditional sports leagues (e.g., NFL, NBA, FIFA) have collectively invested over $1 billion in eSports franchises or events, as reported in official financial disclosures or reputable financial news sources, this question asks if by the end of 2026, any single eSports event will record higher global viewership numbers than the Super Bowl for that year, as reported by official viewership statistics from organizations like Nielsen. This resolves as NO only if the investment occurs and the viewership milestone is not reached; it resolves as YES in all other cases.",0.25,"Given that traditional sports leagues fail to invest over $1 billion collectively in eSports by 2025, will an eSports event surpass the Super Bowl in viewership by 2026?

Given that by December 31, 2025, major traditional sports leagues (e.g., NFL, NBA, FIFA) collectively invest $1 billion or less in eSports franchises or events, as reported in official financial disclosures or reputable financial news sources, this question asks if by the end of 2026, any single eSports event will record higher global viewership numbers than the Super Bowl for that year, as reported by official viewership statistics from organizations like Nielsen. This resolves as NO only if the investment condition is met and no eSports event surpasses the Super Bowl in viewership; it resolves as YES in all other cases.",0.15,0.136845896060706
