check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
cond,"Will a globally recognized AI achieve human-level general intelligence by 2045?

By December 31, 2045, will an artificial intelligence system be publicly recognized by the majority of AI experts as having achieved human-level general intelligence across a broad range of tasks, as evidenced by consensus in peer-reviewed publications or official statements from leading AI institutions?",0.35,"Given that a globally recognized AI achieves human-level general intelligence by 2045, will a global regulatory framework governing AI behavior be established by 2050?

Given that by December 31, 2045, an artificial intelligence system is publicly recognized by the majority of AI experts as having achieved human-level general intelligence across a broad range of tasks, as evidenced by consensus in peer-reviewed publications or official statements from leading AI institutions, this question asks if an international treaty or regulatory framework will be established and ratified by major world powers by December 31, 2050, to govern the behavior, development, and deployment of such AI systems, as confirmed by official documents from the United Nations or equivalent international bodies.",0.65,"Will both a globally recognized AI achieve human-level general intelligence by 2045 AND, if so, will a global regulatory framework governing AI behavior be established by 2050?

Will both of the following occur:  
(a) By December 31, 2045, an artificial intelligence system will be publicly recognized by the majority of AI experts as having achieved human-level general intelligence across a broad range of tasks, as evidenced by consensus in peer-reviewed publications or official statements from leading AI institutions.  
(b) Conditional on the achievement of human-level general intelligence by an AI system by December 31, 2045, an international treaty or regulatory framework will be established and ratified by major world powers by December 31, 2050, to govern the behavior, development, and deployment of such AI systems, as confirmed by official documents from the United Nations or equivalent international bodies.",0.35,,,0.2063308790426491
cond,"Will the majority of global financial transactions be conducted using a single digital currency by 2045?

By December 31, 2045, will over 50% of global financial transactions by volume be conducted using a single, globally accepted digital currency (not tied to any single nation's fiat currency), as reported by the International Monetary Fund or the Bank for International Settlements?",0.15,"Given that the majority of global financial transactions are conducted using a single digital currency by 2045, will this digital currency be controlled by a decentralized network rather than a central authority?

Given that by December 31, 2045, over 50% of global financial transactions by volume are conducted using a single, globally accepted digital currency (not tied to any single nation's fiat currency), as reported by the International Monetary Fund or the Bank for International Settlements, this question asks if that currency will be operated and governed by a decentralized network (e.g., blockchain technology) with no central controlling authority, as verified by technical documentation and oversight bodies. This resolves as NO only if the majority of transactions are conducted using a single digital currency and that currency is not controlled by a decentralized network; it resolves as YES in all other cases.",0.35,"Will both the majority of global financial transactions be conducted using a single digital currency by 2045 AND this currency be controlled by a decentralized network? Body: Will both of the following occur: (a) By December 31, 2045, will over 50% of global financial transactions by volume be conducted using a single, globally accepted digital currency (not tied to any single nation's fiat currency), as reported by the International Monetary Fund or the Bank for International Settlements? (b) Conditional on the majority of global financial transactions using a single digital currency by December 31, 2045, will that currency be operated and governed by a decentralized network (e.g., blockchain technology) with no central controlling authority, as verified by technical documentation and oversight bodies? Both conditions must be met for a ""Yes"" resolution.

Will both of the following occur: (a) By December 31, 2045, will over 50% of global financial transactions by volume be conducted using a single, globally accepted digital currency (not tied to any single nation's fiat currency), as reported by the International Monetary Fund or the Bank for International Settlements? (b) Conditional on the majority of global financial transactions using a single digital currency by December 31, 2045, will that currency be operated and governed by a decentralized network (e.g., blockchain technology) with no central controlling authority, as verified by technical documentation and oversight bodies? Both conditions must be met for a ""Yes"" resolution.",0.15,,,0.2523862164317697
expevidence,"Will an unprecedented global agreement to eliminate all nuclear weapons be signed and ratified by all nuclear-armed states by 2040?

By December 31, 2040, will all countries currently possessing nuclear weapons sign and ratify an international treaty that commits them to the complete elimination of their nuclear arsenals, verified by the United Nations or relevant international bodies?",0.05,"If such a global nuclear disarmament treaty is ratified by 2040, will any signatory country covertly maintain or develop nuclear weapons capability by 2050?

Conditional on the signing and ratification of a global nuclear disarmament treaty by all nuclear-armed states by December 31, 2040, will any of the signatory countries be found, by December 31, 2050, to have covertly maintained or developed nuclear weapons capabilities, as confirmed by credible intelligence reports or international investigations?",0.65,"Given that an unprecedented global agreement to eliminate all nuclear weapons is signed and ratified by all nuclear-armed states by 2040, will any signatory country covertly maintain or develop nuclear weapons capability by 2050?

Given that by December 31, 2040, all countries currently possessing nuclear weapons have signed and ratified an international treaty committing them to the complete elimination of their nuclear arsenals, verified by the United Nations or relevant international bodies, this question asks if any of the signatory countries will be found, by December 31, 2050, to have covertly maintained or developed nuclear weapons capabilities, as confirmed by credible intelligence reports or international investigations.",0.35,"Given that an unprecedented global agreement to eliminate all nuclear weapons is signed and ratified by all nuclear-armed states by 2040, will all signatory countries cease covert nuclear weapons activities by 2050?

Given that by December 31, 2040, all countries currently possessing nuclear weapons have signed and ratified an international treaty committing them to the complete elimination of their nuclear arsenals, verified by the United Nations or relevant international bodies, this question asks if all of the signatory countries will be found, by December 31, 2050, to have ceased any covert maintenance or development of nuclear weapons capabilities, as confirmed by credible intelligence reports or international investigations. This resolves as NO only if the treaty is signed and ratified by 2040 and not all signatory countries cease covert activities by 2050; it resolves as YES in all other cases.",0.35,0.7223412907746565
expevidence,"Will the first human achieve biological immortality through technology by 2060?

By December 31, 2060, will there be a confirmed case of a human achieving biological immortality—ceasing to age biologically—through technological means such as advanced biotechnology or nanotechnology, as validated by leading scientific organizations and published in reputable scientific journals?",0.05,"Assuming biological immortality is achieved by 2060, will global life expectancy surpass 120 years by 2100?

Conditional on a human achieving biological immortality through technology by December 31, 2060, will the global average life expectancy at birth surpass 120 years by December 31, 2100, as reported by the World Health Organization or similar global health organizations?",0.35,"Given that the first human achieves biological immortality through technology by 2060, will global life expectancy surpass 120 years by 2100?

Given that by December 31, 2060, there is a confirmed case of a human achieving biological immortality—ceasing to age biologically—through technological means such as advanced biotechnology or nanotechnology, as validated by leading scientific organizations and published in reputable scientific journals, this question asks if the global average life expectancy at birth will surpass 120 years by December 31, 2100, as reported by the World Health Organization or similar global health organizations. This resolves as NO only if biological immortality is achieved by 2060 and global life expectancy does not surpass 120 years by 2100; it resolves as YES in all other cases.",0.35,"Given that the first human achieves biological immortality through technology by 2060, will global life expectancy fail to surpass 120 years by 2100?

Given that by December 31, 2060, there is a confirmed case of a human achieving biological immortality—ceasing to age biologically—through technological means such as advanced biotechnology or nanotechnology, as validated by leading scientific organizations and published in reputable scientific journals, this question asks if the global average life expectancy at birth will fail to surpass 120 years by December 31, 2100, as reported by the World Health Organization or similar global health organizations.",0.65,1.1268568274257815
expevidence,"Will a significant global movement to adopt a four-day workweek be in place by 2035?

By December 31, 2035, will at least 30% of countries (by number, not population) have officially adopted policies encouraging or mandating a standard four-day workweek for full-time employees, as confirmed by government legislation and international labor organizations?",0.25,"Given this shift, will global productivity levels increase or remain the same by 2040?

Conditional on the adoption of a four-day workweek in at least 30% of countries by December 31, 2035, will global productivity levels (measured by GDP per capita) either increase or remain at least at the same level by December 31, 2040, as reported by the World Bank and International Monetary Fund?",0.75,"Given that a significant global movement to adopt a four-day workweek is in place by 2035, will global productivity levels increase or remain the same by 2040?

Given that by December 31, 2035, at least 30% of countries have officially adopted policies encouraging or mandating a standard four-day workweek for full-time employees, as confirmed by government legislation and international labor organizations, this question asks if global productivity levels (measured by GDP per capita) will either increase or remain at least at the same level by December 31, 2040, as reported by the World Bank and International Monetary Fund.",0.75,"Given that a significant global movement to adopt a four-day workweek is in place by 2035, will global productivity levels decrease by 2040?

Given that by December 31, 2035, at least 30% of countries have officially adopted policies encouraging or mandating a standard four-day workweek for full-time employees, as confirmed by government legislation and international labor organizations, this question asks if global productivity levels (measured by GDP per capita) will decrease by December 31, 2040, as reported by the World Bank and International Monetary Fund. This resolves as NO only if the four-day workweek adoption occurs and global productivity levels do not decrease; it resolves as YES in all other cases.",0.35,0.687830161309908
expevidence,"Will an international court prosecute environmental destruction as a crime against humanity by 2035?

By December 31, 2035, will an international court such as the International Criminal Court (ICC) begin prosecuting cases where severe environmental destruction is classified and tried as a crime against humanity, as evidenced by official court records?",0.35,"Given this legal shift, will corporate environmental violations decrease by 50% by 2045?

Conditional on environmental destruction being prosecuted as a crime against humanity by December 31, 2035, will documented instances of major corporate environmental violations decrease by at least 50% by December 31, 2045, compared to the baseline year of 2030, as reported by environmental watchdog organizations?",0.65,"Given that an international court prosecutes environmental destruction as a crime against humanity by 2035, will corporate environmental violations decrease by 50% by 2045?

Given that by December 31, 2035, an international court such as the International Criminal Court (ICC) begins prosecuting cases where severe environmental destruction is classified and tried as a crime against humanity, as evidenced by official court records, this question asks if documented instances of major corporate environmental violations will decrease by at least 50% by December 31, 2045, compared to the baseline year of 2030, as reported by environmental watchdog organizations.",0.45,"Given that an international court prosecutes environmental destruction as a crime against humanity by 2035, will corporate environmental violations fail to decrease by 50% by 2045 despite the legal shift?

Given that by December 31, 2035, an international court such as the International Criminal Court (ICC) begins prosecuting cases where severe environmental destruction is classified and tried as a crime against humanity, as evidenced by official court records, this question asks if documented instances of major corporate environmental violations will fail to decrease by at least 50% by December 31, 2045, compared to the baseline year of 2030, as reported by environmental watchdog organizations. This resolves as NO only if the prosecutions occur and the violations decrease by at least 50%; it resolves as YES in all other cases.",0.65,0.2794641167449814
expevidence,"Will quantum communication networks render classical encryption obsolete for secure government communications by 2050?

By December 31, 2050, will major governments transition to quantum communication networks for secure communications, rendering classical encryption methods obsolete due to advances in quantum computing and security, as evidenced by official government communications policies and infrastructure deployments?",0.35,"Assuming this technological shift, will non-state actors gain access to comparable quantum technologies by 2060?

Conditional on governments adopting quantum communication networks by December 31, 2050, will non-state actors (e.g., corporations, organizations, or illicit groups) gain access to comparable quantum communication or computing technologies capable of compromising or matching government capabilities by December 31, 2060, as reported by security analyses and technological assessments?",0.75,"Given that governments adopt quantum communication networks by 2050, will non-state actors gain access to comparable quantum technologies by 2060?

Given that governments adopt quantum communication networks by December 31, 2050, this question asks if non-state actors (e.g., corporations, organizations, or illicit groups) will gain access to comparable quantum communication or computing technologies capable of compromising or matching government capabilities by December 31, 2060, as reported by security analyses and technological assessments. This resolves as NO only if governments adopt quantum communication networks by 2050 and non-state actors do not gain access to comparable technologies by 2060; it resolves as YES in all other cases.",0.75,"Given that non-state actors fail to gain access to comparable quantum technologies by 2060, will quantum communication networks render classical encryption obsolete for secure government communications by 2050?

Given that non-state actors (e.g., corporations, organizations, or illicit groups) fail to gain access to comparable quantum communication or computing technologies capable of compromising or matching government capabilities by December 31, 2060, as reported by security analyses and technological assessments, this question asks if by December 31, 2050, major governments will transition to quantum communication networks for secure communications, rendering classical encryption methods obsolete due to advances in quantum computing and security, as evidenced by official government communications policies and infrastructure deployments.",0.35,0.48782906212346133
consequence,"Will a global pandemic resulting in over 100 million fatalities occur before 2050?

By December 31, 2050, will a global pandemic occur that results in at least 100 million deaths worldwide, as reported by the World Health Organization and corroborated by major health data sources?",0.15,"Assuming such a pandemic occurs before 2050, will it lead to a significant restructuring of the World Health Organization by 2055?

Conditional on a global pandemic causing over 100 million fatalities before December 31, 2050, will the World Health Organization undergo a significant restructuring—such as changes in governance structure, mandate, or member state participation—by December 31, 2055, as documented in official UN records?",0.75,,,,,0.0
consequence,"Will global average temperatures increase by 3 degrees Celsius above pre-industrial levels by 2100?

By December 31, 2100, will the global average surface temperature be at least 3 degrees Celsius higher than pre-industrial levels (1850–1900 average), as reported by the Intergovernmental Panel on Climate Change (IPCC) or equivalent scientific bodies?",0.35,"Given a 3-degree Celsius temperature increase by 2100, will there be a complete collapse of the West Antarctic Ice Sheet by 2120?

Conditional on global average temperatures increasing by at least 3 degrees Celsius above pre-industrial levels by December 31, 2100, will the West Antarctic Ice Sheet experience a complete collapse (resulting in significant sea-level rise) by December 31, 2120, as evidenced by satellite observations and reported in peer-reviewed climate science literature?",0.35,,,,,0.0
consequence,"Will a major archaeological discovery redefine human prehistory before 2040?

By December 31, 2040, will there be a major archaeological discovery that significantly alters the understanding of human prehistory (e.g., evidence of previously unknown hominin species or advanced ancient civilizations), as reported in peer-reviewed journals and acknowledged by the majority of leading anthropologists?",0.65,"Assuming such a discovery, will it lead to major revisions in global history curricula by 2050?

Conditional on a major archaeological discovery redefining human prehistory by December 31, 2040, will over half of the countries globally officially revise their national history education curricula to incorporate the new findings by December 31, 2050, as confirmed by educational authorities and international educational organizations?",0.65,,,,,0.0
consequence,"Will a major linguistic shift result in a constructed language becoming a primary language for international diplomacy by 2050?

By December 31, 2050, will a constructed language (e.g., Esperanto or a newly created language) become one of the primary official languages used in international diplomacy and organizations such as the United Nations, as evidenced by its adoption in official documents and proceedings?",0.05,"Assuming this occurs, will it lead to a decline in the use of English in international forums by 2060?

Conditional on a constructed language becoming a primary language for international diplomacy by December 31, 2050, will there be a measurable decline in the use of English in international forums and diplomatic communications by December 31, 2060, as indicated by linguistic analysis of official documents?",0.65,,,,,0.0
